ROID,MSNAME,DEST,N_RETURNEES,DATE,OPTYPE
RO-01906,Austria,Russia,5,28/09/2021,JRO
RO-01906,Belgium,Russia,1,28/09/2021,JRO
RO-01906,Germany,Russia,39,28/09/2021,JRO
RO-01907,France,Albania,31,10/08/2021,CRO
RO-01909,Italy,Tunisia,29,05/07/2021,NRO
RO-01911,Italy,Tunisia,17,09/08/2021,NRO
RO-01912,France,Albania,33,07/09/2021,CRO
RO-01913,France,Albania,32,14/09/2021,CRO
RO-01914,France,Albania,31,21/09/2021,CRO
RO-01915,France,Albania,29,28/09/2021,CRO
RO-01916,Italy,Tunisia,33,12/08/2021,NRO
RO-01917,Germany,Russia,34,31/08/2021,NRO
RO-01918,Italy,Tunisia,9,16/08/2021,NRO
RO-01919,Italy,Tunisia,16,19/08/2021,NRO
RO-01921,Italy,Tunisia,21,23/08/2021,NRO
RO-01922,Spain,Georgia,11,06/10/2021,NRO
RO-01922,Spain,Albania,27,06/10/2021,NRO
RO-01923,Germany,North Macedonia,19,08/10/2021,NRO
RO-01923,Germany,Serbia,32,08/10/2021,NRO
RO-01925,Germany,Armenia,29,13/10/2021,NRO
RO-01926,Germany,Kosovo,26,15/10/2021,NRO
RO-01926,Germany,Albania,43,15/10/2021,NRO
RO-01927,Germany,Tunisia,19,13/10/2021,NRO
RO-01929,Germany,North Macedonia,16,14/10/2021,NRO
RO-01929,Germany,Serbia,28,14/10/2021,NRO
RO-01930,Germany,Pakistan,32,18/10/2021,NRO
RO-01931,Germany,Georgia,49,21/10/2021,CRO
RO-01933,Germany,Russia,46,26/10/2021,NRO
RO-01935,Austria,Bangladesh,5,26/10/2021,JRO
RO-01935,Germany,Bangladesh,33,26/10/2021,JRO
RO-01935,Romania,Bangladesh,1,26/10/2021,JRO
RO-01937,Italy,Tunisia,31,26/08/2021,NRO
RO-01938,Italy,Egypt,13,31/08/2021,NRO
RO-01939,France,Georgia,16,14/10/2021,CRO
RO-01940,Italy,Tunisia,23,30/08/2021,NRO
RO-01941,Germany,Serbia,7,14/09/2021,NRO
RO-01941,Germany,Moldova,45,14/09/2021,NRO
RO-01943,Italy,Tunisia,38,02/09/2021,NRO
RO-01944,Italy,Tunisia,25,06/09/2021,NRO
RO-01945,Italy,Egypt,20,07/09/2021,NRO
RO-01946,Italy,Tunisia,15,09/09/2021,NRO
RO-01947,Italy,Nigeria,19,02/10/2021,NRO
RO-01949,Italy,Tunisia,7,13/09/2021,NRO
RO-01950,Italy,Tunisia,26,16/09/2021,NRO
RO-01951,Germany,Moldova,30,12/10/2021,NRO
RO-01951,Germany,Ukraine,2,12/10/2021,NRO
RO-01952,Italy,Tunisia,15,20/09/2021,NRO
RO-01953,Germany,Georgia,42,04/11/2021,CRO
RO-01953,Italy,Georgia,7,04/11/2021,CRO
RO-01954,Austria,Pakistan,10,11/11/2021,JRO
RO-01954,Germany,Pakistan,49,11/11/2021,JRO
RO-01954,Romania,Pakistan,6,11/11/2021,JRO
RO-01956,Germany,Azerbaijan,43,25/11/2021,NRO
RO-01957,Austria,Kosovo,3,17/11/2021,JRO
RO-01957,Austria,Albania,2,17/11/2021,JRO
RO-01957,Germany,Kosovo,17,17/11/2021,JRO
RO-01957,Germany,Albania,34,17/11/2021,JRO
RO-01957,Sweden,Kosovo,5,17/11/2021,JRO
RO-01957,Sweden,Albania,2,17/11/2021,JRO
RO-01958,Germany,Russia,40,23/11/2021,NRO
RO-01959,Germany,Tunisia,23,24/11/2021,NRO
RO-01961,Austria,Nigeria,9,23/11/2021,JRO
RO-01961,Germany,Nigeria,21,23/11/2021,JRO
RO-01961,Hungary,Nigeria,2,23/11/2021,JRO
RO-01963,Germany,Ghana,22,30/11/2021,NRO
RO-01964,Spain,Georgia,11,01/12/2021,NRO
RO-01964,Spain,Albania,18,01/12/2021,NRO
RO-01965,Italy,Tunisia,11,23/09/2021,NRO
RO-01966,France,Albania,34,19/10/2021,CRO
RO-01967,France,Albania,28,26/10/2021,CRO
RO-01968,Belgium,Albania,1,12/10/2021,CRO
RO-01968,France,Albania,32,12/10/2021,CRO
RO-01969,France,Albania,29,05/10/2021,CRO
RO-01970,Italy,Tunisia,31,24/09/2021,NRO
RO-01971,Germany,Albania,15,10/11/2021,JRO
RO-01971,Germany,Moldova,28,10/11/2021,JRO
RO-01971,Sweden,Albania,4,10/11/2021,JRO
RO-01972,Germany,Georgia,41,18/11/2021,CRO
RO-01973,Germany,Georgia,44,02/12/2021,CRO
RO-01973,Sweden,Georgia,13,02/12/2021,CRO
RO-01974,Austria,Armenia,1,04/11/2021,NRO
RO-01974,Austria,Georgia,10,04/11/2021,NRO
RO-01975,Bulgaria,Dominican Republic,1,15/12/2021,JRO
RO-01975,Spain,Colombia,51,15/12/2021,JRO
RO-01975,Spain,Dominican Republic,9,15/12/2021,JRO
RO-01976,Germany,Nigeria,13,21/12/2021,NRO
RO-01978,Germany,Tunisia,15,15/12/2021,NRO
RO-01979,Bulgaria,Russia,1,21/12/2021,JRO
RO-01979,Germany,Russia,60,21/12/2021,JRO
RO-01980,Italy,Tunisia,28,27/09/2021,NRO
RO-01981,Germany,Senegal,15,08/11/2021,JRO
RO-01981,Spain,Senegal,1,08/11/2021,JRO
RO-01982,Austria,Russia,10,02/12/2021,NRO
RO-01983,Germany,Armenia,44,16/11/2021,NRO
RO-01984,Italy,Tunisia,39,30/09/2021,NRO
RO-01985,Italy,Tunisia,23,01/10/2021,NRO
RO-01986,Austria,Nigeria,12,12/10/2021,JRO
RO-01986,Norway,Nigeria,5,12/10/2021,JRO
RO-01987,Italy,Tunisia,33,07/10/2021,NRO
RO-01988,Germany,Montenegro,42,08/12/2021,NRO
RO-01989,Italy,Egypt,25,09/10/2021,NRO
RO-01990,France,Georgia,23,10/11/2021,CRO
RO-01991,Germany,Moldova,17,30/11/2021,JRO
RO-01991,Germany,Ukraine,39,30/11/2021,JRO
RO-01991,Spain,Ukraine,7,30/11/2021,JRO
RO-01992,Italy,Tunisia,23,11/10/2021,NRO
RO-01993,Italy,Tunisia,21,14/10/2021,NRO
RO-01994,Belgium,Albania,1,09/11/2021,CRO
RO-01994,France,Albania,35,09/11/2021,CRO
RO-01995,France,Albania,34,16/11/2021,CRO
RO-01996,France,Albania,30,23/11/2021,CRO
RO-01997,France,Albania,28,30/11/2021,CRO
RO-01998,France,Albania,32,03/11/2021,CRO
RO-01999,Germany,Iraq,12,07/12/2021,NRO
RO-02000,Bulgaria,Armenia,1,14/12/2021,JRO
RO-02000,Germany,Armenia,19,14/12/2021,JRO
RO-02000,Sweden,Armenia,1,14/12/2021,JRO
RO-02001,Germany,Georgia,55,14/12/2021,CRO
RO-02002,Germany,Pakistan,40,14/12/2021,NRO
RO-02003,Italy,Tunisia,40,18/10/2021,NRO
RO-02004,Italy,Tunisia,17,21/10/2021,NRO
RO-02005,Italy,Tunisia,35,22/10/2021,NRO
RO-02006,Italy,Tunisia,24,28/10/2021,NRO
RO-02007,Germany,Kosovo,21,16/12/2021,NRO
RO-02007,Germany,Albania,45,16/12/2021,NRO
RO-02008,Germany,Kosovo,10,01/12/2021,NRO
RO-02008,Germany,Moldova,26,01/12/2021,NRO
RO-02010,Italy,Nigeria,32,04/12/2021,JRO
RO-02010,Slovenia,Nigeria,1,04/12/2021,JRO
RO-02011,Italy,Tunisia,22,01/11/2021,NRO
RO-02012,Italy,Tunisia,24,04/11/2021,NRO
RO-02013,Italy,Tunisia,35,11/11/2021,NRO
RO-02014,Austria,Bangladesh,1,20/12/2021,JRO
RO-02014,Greece,Bangladesh,19,20/12/2021,JRO
RO-02015,France,Albania,30,14/12/2021,CRO
RO-02016,Belgium,Albania,1,28/12/2021,CRO
RO-02016,France,Albania,20,28/12/2021,CRO
RO-02017,France,Albania,25,21/12/2021,CRO
RO-02018,France,Albania,28,07/12/2021,CRO
RO-02019,Germany,Moldova,38,16/12/2021,NRO
RO-02020,Germany,Serbia,45,30/11/2021,NRO
RO-02022,Italy,Tunisia,32,15/11/2021,NRO
RO-02028,Italy,Tunisia,35,18/11/2021,NRO
RO-02029,Italy,Tunisia,37,22/11/2021,NRO
RO-02038,Italy,Tunisia,34,25/11/2021,NRO
RO-02040,Italy,Tunisia,27,29/11/2021,NRO
RO-02041,Italy,Tunisia,15,02/12/2021,NRO
RO-02042,Italy,Tunisia,25,06/12/2021,NRO
RO-02043,Spain,Mauritania,13,22/12/2021,NRO
RO-02044,Italy,Egypt,9,15/12/2021,NRO
RO-02048,Italy,Tunisia,19,13/12/2021,NRO
RO-02053,Italy,Tunisia,22,20/12/2021,NRO
RO-02065,Italy,Tunisia,25,30/12/2021,NRO
