ROID,MSNAME,DEST,N_RETURNEES,MSISO
RO-00987,Germany,Tunisia,19,DEU
RO-01096,Italy,Tunisia,23,ITA
RO-01087,Germany,Albania,60,DEU
RO-01087,Germany,Kosovo,36,DEU
RO-01108,France,Georgia,5,FRA
RO-01108,Germany,Georgia,81,DEU
RO-01117,Germany,North Macedonia,23,DEU
RO-01117,Germany,Serbia,19,DEU
RO-01131,Belgium,Albania,5,BEL
RO-01131,France,Albania,15,FRA
RO-01191,Italy,Egypt,20,ITA
RO-01252,Italy,Tunisia,32,ITA
RO-01150,Austria,Bangladesh,4,AUT
RO-01150,Germany,Bangladesh,28,DEU
RO-01203,Austria,Afghanistan,20,AUT
RO-01203,Sweden,Afghanistan,10,SWE
RO-01258,Belgium,Albania,5,BEL
RO-01258,France,Albania,33,FRA
RO-00962,Italy,Tunisia,15,ITA
RO-00952,Germany,Albania,84,DEU
RO-00952,Germany,Kosovo,17,DEU
RO-00855,Austria,Afghanistan,18,AUT
RO-00855,Sweden,Afghanistan,25,SWE
RO-01027,Germany,Egypt,13,DEU
RO-01063,Germany,Nigeria,12,DEU
RO-01097,Italy,Egypt,14,ITA
RO-01073,Germany,Albania,42,DEU
RO-01073,Germany,Kosovo,33,DEU
RO-01122,Italy,Tunisia,15,ITA
RO-01056,Sweden,Afghanistan,50,SWE
RO-01144,Germany,Ghana,17,DEU
RO-01244,Italy,Egypt,15,ITA
RO-01278,Italy,Tunisia,12,ITA
RO-01173,Germany,Tunisia,20,DEU
RO-01199,Norway,Ethiopia,11,NOR
RO-01199,Sweden,Ethiopia,7,SWE
RO-01270,Germany,Albania,25,DEU
RO-01270,Germany,Kosovo,21,DEU
RO-00920,Germany,Albania,58,DEU
RO-00920,Germany,Kosovo,23,DEU
RO-00929,Belgium,Albania,5,BEL
RO-00929,France,Albania,21,FRA
RO-00853,Austria,Afghanistan,20,AUT
RO-00853,Greece,Afghanistan,3,GRC
RO-00853,Hungary,Afghanistan,2,HUN
RO-00853,Sweden,Afghanistan,25,SWE
RO-00956,Belgium,Albania,5,BEL
RO-00956,France,Albania,21,FRA
RO-01053,Germany,Somalia,3,DEU
RO-01065,Germany,Guinea,9,DEU
RO-01074,France,Albania,45,FRA
RO-01134,Austria,Georgia,7,AUT
RO-01134,Germany,Georgia,31,DEU
RO-01158,Germany,Bosnia and Herzegovina,8,DEU
RO-01158,Germany,Moldova,27,DEU
RO-01214,Italy,Tunisia,32,ITA
RO-01174,Germany,North Macedonia,40,DEU
RO-01174,Germany,Serbia,68,DEU
RO-01274,Germany,Kosovo,14,DEU
RO-01274,Germany,Moldova,43,DEU
RO-00915,Greece,Pakistan,5,GRC
RO-00915,Sweden,Pakistan,2,SWE
RO-00961,Germany,Tunisia,21,DEU
RO-01001,Austria,Pakistan,7,AUT
RO-01001,Germany,Pakistan,34,DEU
RO-01001,Ireland,Pakistan,16,IRL
RO-01076,Germany,Albania,25,DEU
RO-01076,Germany,Kosovo,14,DEU
RO-01099,Germany,Moldova,24,DEU
RO-01099,Germany,Serbia,21,DEU
RO-01127,Belgium,Albania,5,BEL
RO-01127,France,Albania,22,FRA
RO-01049,Austria,Afghanistan,15,AUT
RO-01049,Sweden,Afghanistan,29,SWE
RO-01172,Germany,Tunisia,25,DEU
RO-01255,Belgium,Albania,5,BEL
RO-01255,France,Albania,32,FRA
RO-01267,Spain,Mauritania,23,ESP
RO-00892,Germany,Moldova,14,DEU
RO-00892,Germany,Serbia,18,DEU
RO-00875,Austria,Russia,3,AUT
RO-00875,Germany,Russia,4,DEU
RO-00943,Finland,Iraq,4,FIN
