ROID,MSNAME,DEST,N_RETURNEES,MSISO
RO-01359,Italy,Tunisia,21,ITA
RO-01475,Italy,Tunisia,20,ITA
RO-01481,Finland,Georgia,5,FIN
RO-01497,Germany,North Macedonia,21,DEU
RO-01497,Germany,Serbia,34,DEU
RO-01497,Iceland,North Macedonia,7,ISL
RO-01510,France,Albania,25,FRA
RO-01178,Germany,Pakistan,31,DEU
RO-01311,Belgium,Albania,6,BEL
RO-01311,France,Albania,41,FRA
RO-01353,Italy,Egypt,20,ITA
RO-01211,Austria,Georgia,7,AUT
RO-01468,Italy,Albania,30,ITA
RO-01284,Germany,Pakistan,34,DEU
RO-01517,Italy,Tunisia,15,ITA
RO-01498,Germany,Tunisia,18,DEU
RO-01543,Germany,Bosnia and Herzegovina,24,DEU
RO-01622,Italy,Tunisia,29,ITA
RO-01437,Germany,Georgia,28,DEU
RO-01437,Iceland,Georgia,2,ISL
RO-01437,Sweden,Georgia,5,SWE
RO-01285,Germany,Pakistan,36,DEU
RO-01285,Poland,Pakistan,1,POL
RO-01559,Italy,Tunisia,40,ITA
RO-01590,Germany,Armenia,31,DEU
RO-01548,Germany,Ghana,15,DEU
RO-01582,Belgium,Albania,1,BEL
RO-01582,France,Albania,22,FRA
RO-01582,Netherlands,Albania,2,NLD
RO-01586,Germany,Tunisia,21,DEU
RO-01314,Finland,Kosovo,1,FIN
RO-01314,Germany,Albania,59,DEU
RO-01314,Germany,Kosovo,15,DEU
RO-01343,Belgium,Albania,6,BEL
RO-01343,France,Albania,42,FRA
RO-01421,Germany,Georgia,45,DEU
RO-01421,Greece,Georgia,10,GRC
RO-01480,Italy,Tunisia,39,ITA
RO-01441,Germany,Georgia,31,DEU
RO-01441,Greece,Georgia,10,GRC
RO-01487,France,Albania,25,FRA
RO-01519,Italy,Tunisia,35,ITA
RO-01528,France,Albania,21,FRA
RO-01530,Germany,Georgia,46,DEU
RO-01530,Italy,Georgia,4,ITA
RO-01577,Spain,Mauritania,22,ESP
RO-01583,Germany,North Macedonia,46,DEU
RO-01583,Germany,Serbia,15,DEU
RO-01591,Austria,Nigeria,17,AUT
RO-01591,Germany,Nigeria,24,DEU
RO-01591,Poland,Nigeria,1,POL
RO-01591,Slovakia,Nigeria,1,SVK
RO-01600,Germany,Albania,28,DEU
RO-01623,Italy,Tunisia,25,ITA
RO-01194,Germany,Georgia,81,DEU
RO-01194,Italy,Georgia,3,ITA
RO-01336,Belgium,Albania,6,BEL
RO-01336,France,Albania,34,FRA
RO-01212,Austria,Russia,5,AUT
RO-01347,Germany,Afghanistan,39,DEU
RO-01457,Germany,Moldova,36,DEU
RO-01529,Germany,Tunisia,20,DEU
RO-01566,Finland,Iraq,5,FIN
RO-01584,Germany,Moldova,42,DEU
RO-01584,Germany,Serbia,7,DEU
RO-01188,Germany,Afghanistan,31,DEU
RO-01469,Germany,Albania,47,DEU
RO-01470,France,Albania,25,FRA
RO-01560,Italy,Tunisia,39,ITA
RO-01547,Austria,Nigeria,25,AUT
RO-01547,Bulgaria,Nigeria,1,BGR
RO-01547,Germany,Nigeria,2,DEU
RO-01547,Hungary,Nigeria,2,HUN
RO-01547,Romania,Nigeria,1,ROU
RO-01547,Sweden,Nigeria,1,SWE
RO-01558,Germany,Albania,34,DEU
RO-01558,Iceland,Albania,6,ISL
RO-01334,Italy,Tunisia,14,ITA
RO-01210,Austria,Armenia,1,AUT
RO-01210,Austria,Georgia,3,AUT
RO-01484,Italy,Tunisia,37,ITA
RO-01512,France,Albania,25,FRA
RO-01516,Austria,Pakistan,5,AUT
RO-01516,Greece,Pakistan,24,GRC
RO-01565,Italy,Tunisia,37,ITA
RO-01187,Germany,Afghanistan,37,DEU
RO-01312,Belgium,Albania,6,BEL
RO-01312,France,Albania,23,FRA
RO-01321,Greece,Pakistan,27,GRC
RO-01186,Germany,Pakistan,19,DEU
RO-01186,Greece,Pakistan,10,GRC
RO-01520,Italy,Tunisia,31,ITA
RO-01630,Italy,Tunisia,28,ITA
RO-01306,Germany,Serbia,47,DEU
RO-01425,Germany,Albania,50,DEU
RO-01434,Germany,Moldova,56,DEU
RO-01492,France,Albania,25,FRA
RO-01496,Germany,Georgia,48,DEU
RO-01564,Italy,Tunisia,40,ITA
RO-01587,France,Albania,30,FRA
RO-01592,Austria,Afghanistan,10,AUT
RO-01592,Bulgaria,Afghanistan,1,BGR
RO-01629,Italy,Tunisia,32,ITA
RO-01193,France,Georgia,5,FRA
RO-01193,Germany,Georgia,29,DEU
RO-01193,Sweden,Georgia,2,SWE
RO-01430,France,Albania,19,FRA
RO-01420,Austria,Georgia,26,AUT
RO-01442,France,Albania,20,FRA
RO-01456,Italy,Tunisia,20,ITA
RO-01463,Slovenia,Kosovo,3,SVN
RO-01594,Germany,Guinea,13,DEU
RO-01597,Germany,Afghanistan,30,DEU
RO-01601,Spain,Colombia,84,ESP
RO-01601,Spain,Dominican Republic,9,ESP
RO-01624,France,Georgia,12,FRA
RO-01350,Spain,Mauritania,51,ESP
RO-01369,Italy,Tunisia,8,ITA
RO-01414,Germany,Albania,41,DEU
RO-01414,Germany,Kosovo,12,DEU
RO-01489,Italy,Tunisia,35,ITA
RO-01448,Austria,Armenia,1,AUT
RO-01448,Austria,Georgia,20,AUT
RO-01448,Greece,Georgia,14,GRC
RO-01522,Italy,Tunisia,40,ITA
RO-01532,France,Albania,17,FRA
RO-01552,France,Kosovo,5,FRA
RO-01552,Germany,Kosovo,30,DEU
RO-01561,Germany,Guinea,6,DEU
RO-01561,Romania,Guinea,1,ROU
RO-01573,Czech Republic,Vietnam,8,CZE
RO-01573,Poland,Vietnam,14,POL
RO-01573,Netherlands,Vietnam,2,NLD
RO-01585,Germany,Georgia,26,DEU
RO-01585,Italy,Georgia,3,ITA
RO-01631,Italy,Tunisia,13,ITA
RO-01294,Germany,Azerbaijan,21,DEU
RO-01304,Germany,Moldova,49,DEU
RO-01304,Germany,Serbia,27,DEU
RO-01337,Belgium,Albania,6,BEL
RO-01337,France,Albania,25,FRA
RO-01357,Germany,Serbia,19,DEU
RO-01401,Austria,Georgia,16,AUT
RO-01283,Austria,Pakistan,7,AUT
RO-01283,Germany,Pakistan,24,DEU
RO-01283,Poland,Pakistan,2,POL
RO-01527,Germany,Gambia,19,DEU
RO-01527,Norway,Gambia,1,NOR
RO-01595,Germany,Ukraine,35,DEU
RO-01599,Netherlands,Nigeria,8,NLD
RO-01205,Austria,Nigeria,17,AUT
RO-01205,Austria,Gambia,1,AUT
RO-01205,Hungary,Nigeria,2,HUN
RO-01205,Hungary,Gambia,1,HUN
RO-01205,Luxembourg,Nigeria,7,LUX
RO-01205,Sweden,Nigeria,3,SWE
RO-01205,Sweden,Gambia,4,SWE
RO-01322,Germany,Albania,64,DEU
RO-01322,Germany,Kosovo,21,DEU
RO-01415,Germany,Moldova,30,DEU
RO-01415,Germany,Serbia,45,DEU
RO-01471,France,Georgia,18,FRA
RO-01568,Italy,Tunisia,33,ITA
RO-01533,Germany,Albania,44,DEU
RO-01533,Germany,Kosovo,12,DEU
RO-01307,Spain,Mauritania,46,ESP
RO-01409,Germany,Albania,19,DEU
RO-01409,Germany,Moldova,42,DEU
RO-01438,Germany,Georgia,38,DEU
RO-01482,Finland,Turkey,4,FIN
RO-01490,Italy,Tunisia,37,ITA
RO-01513,France,Albania,25,FRA
RO-01571,Italy,Tunisia,40,ITA
RO-01299,Belgium,Guinea,7,BEL
RO-01299,Germany,Guinea,9,DEU
RO-01313,Belgium,Albania,6,BEL
RO-01313,France,Albania,34,FRA
RO-01331,Italy,Egypt,29,ITA
RO-01546,Italy,Tunisia,34,ITA
RO-01563,Germany,Moldova,51,DEU
RO-01596,Germany,Ghana,2,DEU
RO-01633,Italy,Tunisia,12,ITA
RO-01204,Austria,Nigeria,12,AUT
RO-01204,Belgium,Nigeria,2,BEL
RO-01204,Germany,Nigeria,20,DEU
RO-01204,Greece,Nigeria,1,GRC
RO-01291,Germany,Tunisia,18,DEU
RO-01426,Germany,Tunisia,22,DEU
RO-01446,Germany,Ukraine,9,DEU
RO-01464,Finland,Georgia,5,FIN
RO-01572,Italy,Tunisia,32,ITA
RO-01634,Italy,Tunisia,17,ITA
RO-01263,Finland,Kosovo,3,FIN
RO-01263,Germany,Albania,59,DEU
RO-01263,Germany,Kosovo,14,DEU
RO-01348,Italy,Tunisia,7,ITA
RO-01328,Germany,Albania,46,DEU
RO-01461,Italy,Tunisia,20,ITA
RO-01574,Germany,Moldova,59,DEU
RO-01574,Germany,Serbia,5,DEU
RO-01588,France,Albania,26,FRA
RO-01370,Italy,Tunisia,14,ITA
RO-01315,Germany,Serbia,31,DEU
RO-01462,France,Georgia,23,FRA
RO-01495,Italy,Tunisia,30,ITA
RO-01508,Germany,Moldova,77,DEU
RO-01508,Germany,Serbia,11,DEU
RO-01549,France,Georgia,22,FRA
RO-01549,Spain,Georgia,2,ESP
RO-01551,Italy,Tunisia,38,ITA
RO-01511,Germany,Ukraine,31,DEU
RO-01537,France,Albania,26,FRA
RO-01338,Belgium,Albania,6,BEL
RO-01338,France,Albania,23,FRA
RO-01354,Spain,Albania,22,ESP
RO-01354,Spain,Georgia,15,ESP
RO-01439,Germany,North Macedonia,51,DEU
RO-01439,Germany,Serbia,25,DEU
RO-01544,Italy,Albania,17,ITA
RO-01233,Germany,Nigeria,27,DEU
RO-01233,Poland,Nigeria,1,POL
RO-01289,Austria,Afghanistan,9,AUT
RO-01289,Bulgaria,Afghanistan,1,BGR
RO-01326,Germany,North Macedonia,25,DEU
RO-01326,Germany,Serbia,34,DEU
RO-01466,Germany,Ukraine,37,DEU
RO-01466,Netherlands,Ukraine,1,NLD
RO-01485,France,Albania,25,FRA
RO-01576,Italy,Tunisia,38,ITA
RO-01535,France,Georgia,4,FRA
RO-01535,Germany,Georgia,31,DEU
RO-01535,Italy,Georgia,5,ITA
RO-01536,Germany,North Macedonia,17,DEU
RO-01536,Germany,Serbia,14,DEU
RO-01333,Spain,Mauritania,42,ESP
RO-01298,Germany,Azerbaijan,29,DEU
RO-01363,France,Albania,17,FRA
RO-01467,Italy,Tunisia,19,ITA
RO-01443,Germany,North Macedonia,53,DEU
RO-01494,Italy,Tunisia,35,ITA
RO-01514,France,Albania,24,FRA
RO-01523,Germany,Ethiopia,10,DEU
RO-01264,Germany,North Macedonia,19,DEU
RO-01264,Germany,Serbia,59,DEU
RO-01295,Germany,Russia,41,DEU
RO-01317,France,Albania,31,FRA
RO-01428,Germany,Albania,26,DEU
RO-01428,Germany,Kosovo,14,DEU
RO-01479,Germany,Albania,38,DEU
RO-01479,Germany,Kosovo,8,DEU
RO-01479,Sweden,Albania,7,SWE
RO-01521,Germany,Moldova,34,DEU
RO-01553,Italy,Tunisia,40,ITA
RO-01393,Norway,Iraq,5,NOR
RO-01603,Romania,Vietnam,25,ROU
RO-01493,France,Albania,24,FRA
RO-01570,Germany,Georgia,14,DEU
RO-01570,Italy,Georgia,4,ITA
RO-01578,Italy,Tunisia,36,ITA
RO-01589,France,Albania,22,FRA
RO-01237,Germany,Ghana,21,DEU
RO-01356,Italy,Tunisia,10,ITA
RO-01429,France,Albania,18,FRA
RO-01435,Germany,Moldova,57,DEU
RO-01465,France,Albania,20,FRA
RO-01472,Italy,Tunisia,18,ITA
RO-01454,Germany,Albania,29,DEU
RO-01454,Germany,Kosovo,16,DEU
RO-01454,Netherlands,Kosovo,1,NLD
RO-01458,Germany,Georgia,45,DEU
RO-01458,Italy,Georgia,4,ITA
RO-01458,Spain,Georgia,1,ESP
RO-01509,Germany,Ukraine,43,DEU
RO-01515,Italy,Tunisia,35,ITA
