ROID,MSISO,MSNAME,N_ESC,N_ESC_LEAD,N_ESC_POOL,N_OBS,UNIQUE_ID,N_MONITORS,N_MONITORS_POOL
RO-00925,ITA,Italy,77,0,0,0,RO-00925ITA,2,NA
RO-00926,DEU,Germany,44,0,0,0,RO-00926DEU,0,1
RO-00927,DEU,Germany,66,1,0,0,RO-00927DEU,0,NA
RO-00928,BEL,Belgium,0,0,0,0,RO-00928BEL,0,NA
RO-00928,FRA,France,35,2,0,3,RO-00928FRA,0,NA
RO-00929,BEL,Belgium,0,0,0,0,RO-00929BEL,0,NA
RO-00929,FRA,France,35,2,0,3,RO-00929FRA,0,NA
RO-00930,BEL,Belgium,0,0,0,0,RO-00930BEL,0,NA
RO-00930,FRA,France,32,2,0,3,RO-00930FRA,0,NA
RO-00931,ESP,Spain,68,1,0,0,RO-00931ESP,2,NA
RO-00932,BEL,Belgium,0,0,0,0,RO-00932BEL,0,NA
RO-00932,FRA,France,33,2,0,4,RO-00932FRA,0,NA
RO-00933,ESP,Spain,95,1,0,0,RO-00933ESP,2,NA
RO-00933,FIN,Finland,9,1,0,0,RO-00933FIN,0,NA
RO-00934,ITA,Italy,40,1,0,0,RO-00934ITA,0,NA
RO-00935,DEU,Germany,34,1,0,0,RO-00935DEU,0,NA
RO-00936,DEU,Germany,38,2,0,0,RO-00936DEU,0,1
RO-00937,ITA,Italy,85,1,0,0,RO-00937ITA,0,NA
RO-00939,DEU,Germany,79,1,0,0,RO-00939DEU,0,NA
RO-00941,ITA,Italy,72,2,0,0,RO-00941ITA,0,NA
RO-00942,DEU,Germany,17,1,0,0,RO-00942DEU,0,NA
RO-00943,FIN,Finland,10,1,0,0,RO-00943FIN,1,NA
RO-00944,ITA,Italy,53,1,0,0,RO-00944ITA,0,NA
RO-00945,DEU,Germany,71,1,0,0,RO-00945DEU,0,NA
RO-00946,DEU,Germany,42,1,0,0,RO-00946DEU,0,NA
RO-00947,DEU,Germany,22,1,0,0,RO-00947DEU,0,NA
RO-00949,DEU,Germany,24,1,0,1,RO-00949DEU,0,NA
RO-00950,DEU,Germany,24,1,0,0,RO-00950DEU,0,NA
RO-00951,ITA,Italy,52,1,0,0,RO-00951ITA,0,NA
RO-00952,DEU,Germany,41,1,0,0,RO-00952DEU,0,NA
RO-00953,DEU,Germany,43,1,0,0,RO-00953DEU,1,NA
RO-00954,BEL,Belgium,0,0,0,0,RO-00954BEL,0,NA
RO-00954,FRA,France,35,2,0,3,RO-00954FRA,0,NA
RO-00955,BEL,Belgium,0,0,0,0,RO-00955BEL,0,NA
RO-00955,FRA,France,35,2,0,3,RO-00955FRA,0,NA
RO-00956,BEL,Belgium,0,0,0,0,RO-00956BEL,0,NA
RO-00956,FRA,France,34,2,0,0,RO-00956FRA,0,NA
RO-00957,DEU,Germany,50,1,0,0,RO-00957DEU,0,1
RO-00958,BEL,Belgium,0,0,0,0,RO-00958BEL,0,NA
RO-00958,FRA,France,32,2,0,3,RO-00958FRA,0,NA
RO-00959,DEU,Germany,28,1,0,0,RO-00959DEU,0,NA
RO-00960,DEU,Germany,16,1,0,0,RO-00960DEU,0,NA
RO-00961,DEU,Germany,71,1,0,0,RO-00961DEU,0,NA
RO-00962,ITA,Italy,45,1,0,0,RO-00962ITA,0,NA
RO-00963,DEU,Germany,50,1,0,0,RO-00963DEU,0,1
RO-00964,DEU,Germany,23,1,0,0,RO-00964DEU,0,NA
RO-00965,DEU,Germany,82,1,0,0,RO-00965DEU,1,NA
RO-00965,DNK,Denmark,6,1,0,0,RO-00965DNK,0,NA
RO-00965,NLD,Netherlands,0,0,0,3,RO-00965NLD,0,NA
RO-00966,DEU,Germany,38,1,0,0,RO-00966DEU,0,NA
RO-00966,ISL,Iceland,0,0,0,0,RO-00966ISL,0,NA
RO-00966,SWE,Sweden,0,0,0,0,RO-00966SWE,0,NA
RO-00967,DEU,Germany,74,1,0,1,RO-00967DEU,0,NA
RO-00970,AUT,Austria,74,1,0,0,RO-00970AUT,1,NA
RO-00970,BGR,Bulgaria,4,1,0,0,RO-00970BGR,0,NA
RO-00970,CHE,Switzerland,13,1,0,0,RO-00970CHE,0,NA
RO-00970,DEU,Germany,30,1,0,0,RO-00970DEU,0,NA
RO-00970,HUN,Hungary,6,1,0,0,RO-00970HUN,0,NA
RO-00971,AUT,Austria,55,1,0,0,RO-00971AUT,1,NA
RO-00971,CHE,Switzerland,10,1,0,0,RO-00971CHE,0,NA
RO-00971,DEU,Germany,38,1,0,0,RO-00971DEU,0,NA
RO-00971,HUN,Hungary,2,1,0,0,RO-00971HUN,0,NA
RO-00971,NLD,Netherlands,0,0,0,2,RO-00971NLD,0,NA
RO-00973,AUT,Austria,19,1,0,1,RO-00973AUT,1,NA
RO-00973,DEU,Germany,32,1,0,0,RO-00973DEU,0,NA
RO-00973,SWE,Sweden,4,1,0,0,RO-00973SWE,1,NA
RO-00974,AUT,Austria,45,1,0,1,RO-00974AUT,1,NA
RO-00974,BEL,Belgium,0,0,0,0,RO-00974BEL,0,NA
RO-00974,BGR,Bulgaria,6,1,0,0,RO-00974BGR,0,NA
RO-00974,CZE,Czech Republic,8,1,0,0,RO-00974CZE,1,NA
RO-00974,DEU,Germany,37,1,0,0,RO-00974DEU,0,NA
RO-00974,FIN,Finland,6,1,0,0,RO-00974FIN,0,NA
RO-00974,LUX,Luxembourg,3,2,0,0,RO-00974LUX,1,NA
RO-00974,ROU,Romania,5,1,0,0,RO-00974ROU,0,NA
RO-00975,BEL,Belgium,0,0,0,0,RO-00975BEL,0,NA
RO-00975,FRA,France,34,2,0,3,RO-00975FRA,0,NA
RO-00976,BEL,Belgium,0,0,0,0,RO-00976BEL,0,NA
RO-00976,FRA,France,45,2,0,3,RO-00976FRA,0,NA
RO-00977,BEL,Belgium,0,0,0,0,RO-00977BEL,0,NA
RO-00977,FIN,Finland,0,0,0,0,RO-00977FIN,0,NA
RO-00977,FRA,France,35,2,0,4,RO-00977FRA,0,NA
RO-00978,BEL,Belgium,0,0,0,0,RO-00978BEL,0,NA
RO-00978,FRA,France,35,2,0,3,RO-00978FRA,0,NA
RO-00978,NLD,Netherlands,0,0,0,0,RO-00978NLD,0,NA
RO-00980,DEU,Germany,61,1,0,0,RO-00980DEU,1,NA
RO-00982,AUT,Austria,23,1,0,0,RO-00982AUT,1,NA
RO-00982,DEU,Germany,83,1,0,0,RO-00982DEU,0,NA
RO-00982,HUN,Hungary,2,1,0,0,RO-00982HUN,0,NA
RO-00982,POL,Poland,3,1,0,0,RO-00982POL,0,NA
RO-00982,SVN,Slovenia,3,1,0,0,RO-00982SVN,0,NA
RO-00982,SWE,Sweden,5,1,0,0,RO-00982SWE,1,NA
RO-00983,AUT,Austria,40,1,0,0,RO-00983AUT,1,NA
RO-00983,SVN,Slovenia,2,1,0,0,RO-00983SVN,0,NA
RO-00984,ITA,Italy,47,1,0,0,RO-00984ITA,1,NA
RO-00985,ITA,Italy,71,1,0,0,RO-00985ITA,2,NA
RO-00986,AUT,Austria,26,1,0,0,RO-00986AUT,1,NA
RO-00987,DEU,Germany,74,1,0,0,RO-00987DEU,0,NA
RO-00988,AUT,Austria,2,1,0,0,RO-00988AUT,1,NA
RO-00988,BEL,Belgium,28,2,0,1,RO-00988BEL,3,NA
RO-00988,BGR,Bulgaria,0,0,6,0,RO-00988BGR,0,NA
RO-00988,CHE,Switzerland,7,1,0,0,RO-00988CHE,0,NA
RO-00988,DEU,Germany,2,1,0,0,RO-00988DEU,0,NA
RO-00988,HUN,Hungary,2,1,0,0,RO-00988HUN,0,NA
RO-00988,NLD,Netherlands,5,1,3,0,RO-00988NLD,0,NA
RO-00988,PRT,Portugal,0,0,2,0,RO-00988PRT,0,NA
RO-00989,DEU,Germany,38,1,0,0,RO-00989DEU,0,NA
RO-00989,FRA,France,0,0,0,0,RO-00989FRA,0,NA
RO-00990,DEU,Germany,9,1,0,0,RO-00990DEU,0,NA
RO-00991,ITA,Italy,45,1,0,0,RO-00991ITA,0,NA
RO-00993,BEL,Belgium,0,0,0,0,RO-00993BEL,0,NA
RO-00993,ITA,Italy,105,2,0,0,RO-00993ITA,1,NA
RO-00994,ESP,Spain,96,1,0,0,RO-00994ESP,2,NA
RO-00996,ESP,Spain,77,1,0,0,RO-00996ESP,2,NA
RO-00997,ITA,Italy,43,1,0,0,RO-00997ITA,0,NA
RO-00998,ITA,Italy,58,2,0,0,RO-00998ITA,0,NA
RO-00999,DEU,Germany,39,1,0,0,RO-00999DEU,0,1
RO-01000,DEU,Germany,41,1,0,0,RO-01000DEU,0,NA
RO-01001,AUT,Austria,19,1,0,1,RO-01001AUT,1,1
RO-01001,DEU,Germany,74,1,0,0,RO-01001DEU,0,NA
RO-01001,IRL,Ireland,35,1,0,0,RO-01001IRL,0,NA
RO-01002,CHE,Switzerland,7,1,0,0,RO-01002CHE,0,NA
RO-01002,DEU,Germany,87,1,0,1,RO-01002DEU,0,NA
RO-01002,FRA,France,7,1,0,0,RO-01002FRA,0,NA
RO-01002,ITA,Italy,11,2,0,0,RO-01002ITA,0,NA
RO-01003,DEU,Germany,44,1,0,0,RO-01003DEU,0,NA
RO-01004,DEU,Germany,69,1,0,0,RO-01004DEU,0,NA
RO-01005,DEU,Germany,45,1,0,0,RO-01005DEU,0,NA
RO-01006,AUT,Austria,24,1,0,1,RO-01006AUT,1,NA
RO-01006,CHE,Switzerland,34,1,0,1,RO-01006CHE,0,NA
RO-01007,FRA,France,22,1,0,0,RO-01007FRA,0,NA
RO-01008,FRA,France,43,1,0,0,RO-01008FRA,0,NA
RO-01009,DEU,Germany,36,1,0,2,RO-01009DEU,0,NA
RO-01009,FRA,France,0,0,0,0,RO-01009FRA,0,NA
RO-01010,ITA,Italy,87,2,0,0,RO-01010ITA,0,NA
RO-01011,AUT,Austria,44,1,0,0,RO-01011AUT,1,NA
RO-01011,BGR,Bulgaria,8,1,0,0,RO-01011BGR,0,NA
RO-01011,HUN,Hungary,12,1,0,0,RO-01011HUN,1,NA
RO-01011,SWE,Sweden,21,1,0,0,RO-01011SWE,1,NA
RO-01012,DEU,Germany,68,1,0,0,RO-01012DEU,0,NA
RO-01013,DEU,Germany,63,1,0,0,RO-01013DEU,0,NA
RO-01014,DEU,Germany,18,1,0,0,RO-01014DEU,0,NA
RO-01015,AUT,Austria,37,1,0,0,RO-01015AUT,1,NA
RO-01015,DEU,Germany,40,1,0,0,RO-01015DEU,0,NA
RO-01016,ITA,Italy,69,1,0,0,RO-01016ITA,0,NA
RO-01017,BEL,Belgium,0,0,0,0,RO-01017BEL,0,NA
RO-01017,FRA,France,35,2,0,3,RO-01017FRA,0,NA
RO-01018,FRA,France,35,2,0,3,RO-01018FRA,0,NA
RO-01019,BEL,Belgium,0,0,0,0,RO-01019BEL,0,NA
RO-01019,FRA,France,36,0,0,3,RO-01019FRA,0,NA
RO-01020,BEL,Belgium,0,0,0,0,RO-01020BEL,0,NA
RO-01020,FRA,France,36,1,0,3,RO-01020FRA,0,NA
RO-01021,ITA,Italy,108,2,0,0,RO-01021ITA,2,NA
RO-01022,ESP,Spain,62,1,0,0,RO-01022ESP,2,NA
RO-01024,DEU,Germany,68,1,0,1,RO-01024DEU,0,NA
RO-01025,ESP,Spain,101,1,0,0,RO-01025ESP,2,NA
RO-01026,DEU,Germany,90,1,0,0,RO-01026DEU,0,1
RO-01026,GRC,Greece,2,1,0,0,RO-01026GRC,0,NA
RO-01027,DEU,Germany,58,1,0,2,RO-01027DEU,0,1
RO-01028,DEU,Germany,45,1,0,0,RO-01028DEU,0,1
RO-01029,DEU,Germany,45,1,0,0,RO-01029DEU,0,NA
RO-01029,FIN,Finland,10,1,0,0,RO-01029FIN,0,NA
RO-01030,ITA,Italy,53,2,0,0,RO-01030ITA,0,NA
RO-01031,DEU,Germany,67,1,0,0,RO-01031DEU,0,NA
RO-01031,POL,Poland,4,1,0,0,RO-01031POL,0,NA
RO-01032,DEU,Germany,38,1,0,0,RO-01032DEU,0,1
RO-01035,DEU,Germany,42,1,0,0,RO-01035DEU,0,NA
RO-01036,DEU,Germany,66,1,0,0,RO-01036DEU,1,NA
RO-01037,DEU,Germany,37,2,0,0,RO-01037DEU,2,NA
RO-01037,FRA,France,0,0,0,0,RO-01037FRA,0,NA
RO-01038,DEU,Germany,37,2,0,0,RO-01038DEU,0,NA
RO-01038,ITA,Italy,0,2,0,0,RO-01038ITA,0,NA
RO-01038,SWE,Sweden,0,0,0,0,RO-01038SWE,0,NA
RO-01039,DEU,Germany,74,1,0,0,RO-01039DEU,0,1
RO-01040,FIN,Finland,3,1,0,0,RO-01040FIN,1,NA
RO-01041,DEU,Germany,62,1,0,0,RO-01041DEU,1,NA
RO-01042,SWE,Sweden,54,1,0,0,RO-01042SWE,1,NA
RO-01043,DEU,Germany,57,1,0,0,RO-01043DEU,0,NA
RO-01044,AUT,Austria,23,1,0,0,RO-01044AUT,1,NA
RO-01045,AUT,Austria,32,1,0,0,RO-01045AUT,1,NA
RO-01046,BEL,Belgium,0,0,0,0,RO-01046BEL,0,NA
RO-01046,FRA,France,37,1,0,3,RO-01046FRA,0,NA
RO-01047,DEU,Germany,64,1,0,0,RO-01047DEU,0,NA
RO-01048,AUT,Austria,34,1,0,0,RO-01048AUT,1,NA
RO-01048,BGR,Bulgaria,8,1,0,0,RO-01048BGR,0,NA
RO-01048,SWE,Sweden,64,2,0,0,RO-01048SWE,1,NA
RO-01049,AUT,Austria,39,1,0,1,RO-01049AUT,1,NA
RO-01049,BGR,Bulgaria,0,0,0,0,RO-01049BGR,0,NA
RO-01049,SWE,Sweden,72,2,0,1,RO-01049SWE,1,NA
RO-01050,BGR,Bulgaria,4,1,0,0,RO-01050BGR,0,NA
RO-01050,SWE,Sweden,68,2,0,0,RO-01050SWE,1,NA
RO-01053,DEU,Germany,6,1,0,0,RO-01053DEU,0,NA
RO-01054,FIN,Finland,10,1,0,0,RO-01054FIN,1,NA
RO-01054,NOR,Norway,6,1,0,1,RO-01054NOR,0,NA
RO-01054,SWE,Sweden,23,2,0,0,RO-01054SWE,1,NA
RO-01055,ITA,Italy,86,1,0,0,RO-01055ITA,0,NA
RO-01056,SWE,Sweden,114,2,0,0,RO-01056SWE,1,NA
RO-01057,FRA,France,22,1,0,0,RO-01057FRA,0,NA
RO-01058,ITA,Italy,68,1,0,0,RO-01058ITA,0,NA
RO-01059,AUT,Austria,34,1,0,0,RO-01059AUT,1,NA
RO-01059,BGR,Bulgaria,4,1,0,0,RO-01059BGR,0,NA
RO-01059,SWE,Sweden,64,2,0,0,RO-01059SWE,1,NA
RO-01060,AUT,Austria,40,1,0,0,RO-01060AUT,1,NA
RO-01060,DEU,Germany,37,1,0,0,RO-01060DEU,0,NA
RO-01061,DEU,Germany,67,1,0,0,RO-01061DEU,0,NA
RO-01063,DEU,Germany,59,1,0,0,RO-01063DEU,0,NA
RO-01065,DEU,Germany,39,1,0,0,RO-01065DEU,0,NA
RO-01066,DEU,Germany,127,1,0,0,RO-01066DEU,0,NA
RO-01066,POL,Poland,3,1,0,0,RO-01066POL,0,NA
RO-01067,AUT,Austria,14,1,0,0,RO-01067AUT,1,NA
RO-01067,DEU,Germany,96,1,0,0,RO-01067DEU,1,NA
RO-01067,FIN,Finland,11,1,0,0,RO-01067FIN,0,NA
RO-01068,DEU,Germany,97,1,0,0,RO-01068DEU,0,NA
RO-01068,ITA,Italy,11,2,0,0,RO-01068ITA,0,NA
RO-01069,BEL,Belgium,0,0,0,0,RO-01069BEL,0,NA
RO-01069,FRA,France,37,1,0,3,RO-01069FRA,0,NA
RO-01070,BEL,Belgium,0,0,0,0,RO-01070BEL,0,NA
RO-01070,FRA,France,38,1,0,3,RO-01070FRA,0,NA
RO-01071,BEL,Belgium,0,0,0,0,RO-01071BEL,0,NA
RO-01071,FRA,France,37,1,0,3,RO-01071FRA,0,NA
RO-01072,FRA,France,34,1,0,4,RO-01072FRA,0,NA
RO-01073,DEU,Germany,37,1,0,0,RO-01073DEU,0,NA
RO-01074,FRA,France,48,1,0,0,RO-01074FRA,0,NA
RO-01075,DEU,Germany,24,2,0,0,RO-01075DEU,0,NA
RO-01076,DEU,Germany,25,1,0,0,RO-01076DEU,0,NA
RO-01077,DEU,Germany,64,1,0,0,RO-01077DEU,0,NA
RO-01078,ITA,Italy,50,1,0,0,RO-01078ITA,0,NA
RO-01079,DEU,Germany,31,1,0,0,RO-01079DEU,0,1
RO-01080,DEU,Germany,46,1,0,0,RO-01080DEU,0,NA
RO-01081,ITA,Italy,62,1,0,0,RO-01081ITA,0,NA
RO-01083,ITA,Italy,51,2,0,0,RO-01083ITA,0,NA
RO-01087,DEU,Germany,40,1,0,0,RO-01087DEU,0,NA
RO-01088,DEU,Germany,73,1,0,0,RO-01088DEU,0,NA
RO-01089,DEU,Germany,73,1,0,0,RO-01089DEU,0,NA
RO-01090,CHE,Switzerland,3,1,0,0,RO-01090CHE,0,NA
RO-01090,DEU,Germany,82,1,0,0,RO-01090DEU,0,NA
RO-01091,ESP,Spain,29,1,0,0,RO-01091ESP,2,NA
RO-01092,ESP,Spain,67,1,0,0,RO-01092ESP,2,NA
RO-01093,DEU,Germany,63,1,0,0,RO-01093DEU,0,1
RO-01094,DEU,Germany,80,1,0,0,RO-01094DEU,1,NA
RO-01095,ITA,Italy,108,2,0,0,RO-01095ITA,3,NA
RO-01096,ITA,Italy,87,2,0,0,RO-01096ITA,1,NA
RO-01097,ITA,Italy,55,3,0,0,RO-01097ITA,0,NA
RO-01099,DEU,Germany,44,1,0,0,RO-01099DEU,1,NA
RO-01100,AUT,Austria,19,1,0,1,RO-01100AUT,1,NA
RO-01100,DEU,Germany,99,1,0,0,RO-01100DEU,1,NA
RO-01100,FIN,Finland,11,1,0,0,RO-01100FIN,0,NA
RO-01100,SWE,Sweden,3,1,0,0,RO-01100SWE,0,NA
RO-01102,BEL,Belgium,0,0,0,0,RO-01102BEL,0,NA
RO-01102,FRA,France,38,1,0,3,RO-01102FRA,0,NA
RO-01103,BEL,Belgium,0,0,0,0,RO-01103BEL,0,NA
RO-01103,FRA,France,37,1,0,3,RO-01103FRA,0,NA
RO-01104,BEL,Belgium,0,0,0,0,RO-01104BEL,0,NA
RO-01104,FRA,France,38,1,0,3,RO-01104FRA,0,NA
RO-01105,DEU,Germany,38,2,0,2,RO-01105DEU,0,1
RO-01105,FRA,France,0,0,0,0,RO-01105FRA,0,NA
RO-01105,ITA,Italy,0,0,0,0,RO-01105ITA,0,NA
RO-01106,DEU,Germany,38,1,0,0,RO-01106DEU,0,1
RO-01107,ITA,Italy,62,1,0,0,RO-01107ITA,0,NA
RO-01108,DEU,Germany,38,1,0,0,RO-01108DEU,0,NA
RO-01108,FRA,France,0,0,0,0,RO-01108FRA,0,NA
RO-01109,DEU,Germany,33,1,0,0,RO-01109DEU,0,NA
RO-01111,DEU,Germany,58,1,0,0,RO-01111DEU,0,NA
RO-01112,ITA,Italy,63,2,0,0,RO-01112ITA,0,NA
RO-01113,DEU,Germany,16,1,0,0,RO-01113DEU,0,1
RO-01114,ITA,Italy,60,2,0,0,RO-01114ITA,0,NA
RO-01115,DEU,Germany,39,1,0,0,RO-01115DEU,0,NA
RO-01116,DEU,Germany,93,1,0,0,RO-01116DEU,0,1
RO-01117,DEU,Germany,34,1,0,0,RO-01117DEU,0,NA
RO-01118,DEU,Germany,66,1,0,0,RO-01118DEU,0,NA
RO-01118,SWE,Sweden,2,1,0,0,RO-01118SWE,1,NA
RO-01119,ITA,Italy,70,1,0,0,RO-01119ITA,0,NA
RO-01120,ITA,Italy,76,2,0,0,RO-01120ITA,0,NA
RO-01121,ITA,Italy,74,2,0,0,RO-01121ITA,0,NA
RO-01122,ITA,Italy,45,1,0,0,RO-01122ITA,0,NA
RO-01123,BGR,Bulgaria,3,1,0,0,RO-01123BGR,0,NA
RO-01123,DEU,Germany,82,1,0,0,RO-01123DEU,0,1
RO-01123,PRT,Portugal,2,1,0,0,RO-01123PRT,0,NA
RO-01124,BGR,Bulgaria,3,1,0,0,RO-01124BGR,0,NA
RO-01124,ESP,Spain,96,1,0,0,RO-01124ESP,2,NA
RO-01124,POL,Poland,3,1,0,0,RO-01124POL,0,NA
RO-01125,BGR,Bulgaria,2,1,0,0,RO-01125BGR,0,NA
RO-01125,ITA,Italy,85,3,0,0,RO-01125ITA,0,NA
RO-01127,BEL,Belgium,0,0,0,0,RO-01127BEL,0,NA
RO-01127,FRA,France,38,1,0,3,RO-01127FRA,0,NA
RO-01128,FRA,France,38,1,0,3,RO-01128FRA,0,1
RO-01129,FRA,France,0,1,0,3,RO-01129FRA,0,NA
RO-01130,BEL,Belgium,0,0,0,0,RO-01130BEL,0,1
RO-01130,FRA,France,38,1,0,3,RO-01130FRA,0,NA
RO-01131,BEL,Belgium,0,0,0,0,RO-01131BEL,0,NA
RO-01131,FRA,France,36,1,0,3,RO-01131FRA,0,NA
RO-01132,BEL,Belgium,0,0,0,0,RO-01132BEL,0,NA
RO-01132,FRA,France,38,1,0,3,RO-01132FRA,0,NA
RO-01133,BEL,Belgium,0,0,0,0,RO-01133BEL,0,NA
RO-01133,FRA,France,38,1,0,3,RO-01133FRA,0,NA
RO-01134,AUT,Austria,23,1,0,0,RO-01134AUT,1,NA
RO-01134,DEU,Germany,39,1,0,0,RO-01134DEU,0,NA
RO-01135,AUT,Austria,47,1,0,0,RO-01135AUT,1,NA
RO-01135,HUN,Hungary,2,1,0,0,RO-01135HUN,0,NA
RO-01135,SWE,Sweden,5,1,0,0,RO-01135SWE,0,NA
RO-01136,AUT,Austria,34,1,0,0,RO-01136AUT,1,NA
RO-01136,DEU,Germany,32,1,0,0,RO-01136DEU,0,NA
RO-01136,LUX,Luxembourg,10,2,0,1,RO-01136LUX,1,NA
RO-01137,AUT,Austria,49,1,0,0,RO-01137AUT,1,NA
RO-01137,CHE,Switzerland,4,1,0,0,RO-01137CHE,0,NA
RO-01137,DEU,Germany,31,1,0,0,RO-01137DEU,0,NA
