ID,OPTYPE,N_RETURNEES,N_FX_STAFF,N_ESC_OBS_MED,N_ESC,N_ESC_LEAD,N_MEDS,N_OBS,N_MONITORS,N_MONITORS_POOL,FX_CONTRIB,n
RO-01326,NRO,88.5,NA,68,66,2,0,0,1,0,97838.93,2
RO-01328,NRO,92,NA,80,78,2,0,0,1,0,105731.28,2
RO-01330,NRO,22,NA,90,88,2,0,0,0,0,49883.9,2
RO-01331,NRO,58,NA,166,160,4,0,0,2,2,57570,2
RO-01333,NRO,84,NA,138,134,2,0,0,2,2,97755.78,2
RO-01334,NRO,28,NA,91,84,4,0,0,3,3,43318.9,2
RO-01335,CRO,88,1,97,92,2,0,3,1,0,93710.1,2
RO-01336,CRO,80,1,93,88,2,0,3,1,0,92208.02,2
RO-01337,CRO,62,1,95,94,0,0,0,2,1,93704.2,2
RO-01338,CRO,58,1,93,88,2,0,3,1,0,89255.84,2
RO-01341,NRO,60,NA,225,216,6,0,0,3,3,167336.8,2
RO-01342,CRO,98,1,96,94,2,0,0,1,0,117547.24,2
RO-01343,CRO,96,NA,98,92,2,0,4,1,0,93097.18,2
RO-01347,NRO,78,NA,188,186,2,0,0,1,0,395467.97,2
RO-01348,NRO,14,NA,54,52,2,0,0,0,0,43318.9,2
RO-01350,NRO,102,NA,156,152,2,0,0,2,2,96093.72,2
RO-01351,NRO,46,NA,76,76,0,0,0,0,0,97548.02,2
RO-01353,NRO,40,NA,124,118,4,0,0,2,2,59579.9,2
RO-01354,NRO,55.5,NA,126,124,2,0,0,0,0,147311.93,2
RO-01356,NRO,20,NA,76,70,4,0,0,2,2,39884.9,2
RO-01357,NRO,38,NA,54,52,2,0,0,0,0,85496.85,2
RO-01359,NRO,42,NA,118,114,4,0,0,0,0,40894.9,2
RO-01363,NRO,34,NA,56,54,2,0,0,0,0,38026.5,2
RO-01365,NRO,30,1,110,108,2,0,0,0,0,243205.01,2
RO-01369,NRO,16,NA,70,68,2,0,0,0,0,39844.5,2
RO-01370,NRO,28,NA,78,74,4,0,0,0,0,40581.8,2
RO-01393,NRO,10,NA,26,24,2,0,0,0,0,95534.62,2
RO-01401,NRO,32,NA,74,70,2,0,1,1,1,58183.07,2
RO-01405,NRO,110,NA,80,78,2,0,0,1,0,102215.13,2
RO-01409,NRO,91.5,NA,96,94,2,0,0,1,0,96144.16,2
RO-01414,NRO,79.5,NA,120,118,2,0,0,1,0,169361.5,2
RO-01415,NRO,112.5,NA,140,138,2,0,0,1,0,101031.41,2
RO-01420,NRO,52,NA,106,102,2,0,1,1,1,61601.92,2
RO-01421,JRO,110,NA,120,116,2,0,0,3,2,298951.58,2
RO-01425,NRO,100,NA,82,80,2,0,0,0,0,50607.34,2
RO-01426,NRO,44,NA,138,136,2,0,0,1,0,105154.71,2
RO-01428,NRO,60,NA,132,130,2,0,0,1,0,73582.13,2
RO-01429,NRO,36,NA,83,78,4,0,1,0,0,60592.43,2
RO-01430,NRO,38,NA,84,84,0,0,0,0,0,60908.05,2
RO-01434,NRO,112,NA,116,114,2,0,0,1,0,65256.62,2
RO-01435,NRO,114,NA,114,112,2,0,0,1,0,67341.85,2
RO-01436,JRO,92,NA,140,136,4,0,0,1,0,267877.1,2
RO-01437,JRO,70,NA,150,144,6,0,0,1,0,627724.38,2
RO-01438,CRO,76,NA,42,38,4,0,0,1,0,109659.62,2
RO-01439,NRO,114,NA,152,150,2,0,0,1,0,173951.04,2
RO-01441,CRO,82,NA,40,36,2,0,2,1,0,238970.52,2
RO-01442,NRO,40,NA,68,66,2,0,0,0,0,58478.5,2
RO-01443,NRO,106,NA,64,62,2,0,0,0,0,61392.49,2
RO-01444,NRO,44,NA,144,142,2,0,0,1,0,109068.74,2
RO-01446,NRO,18,NA,88,86,2,0,0,1,0,54682.75,2
RO-01448,JRO,52.5,NA,136,130,4,0,0,2,2,183517,2
RO-01454,JRO,69,NA,89,86,3,0,0,1,0,311138.52,2
RO-01456,NRO,40,NA,108,104,4,0,0,0,0,43430,2
RO-01457,NRO,72,NA,86,84,2,0,0,0,0,64241.81,2
RO-01458,CRO,100,NA,40,36,2,0,2,1,0,404174.52,2
RO-01460,JRO,94,NA,140,131,9,0,0,1,0,561265.64,2
RO-01461,NRO,40,NA,100,98,2,0,0,0,0,35348.99,2
RO-01462,NRO,46,NA,94,92,2,0,0,0,0,75907.56,2
RO-01463,NRO,6,NA,6,4,2,0,0,0,0,5959,2
RO-01464,NRO,10,NA,24,22,2,0,0,0,0,47470,2
RO-01465,NRO,40,NA,66,64,2,0,0,0,0,58478.5,2
RO-01466,JRO,76,NA,120,117,3,0,0,1,0,150289.66,2
RO-01467,NRO,38,NA,102,98,4,0,0,0,0,44036,2
