ROID,DATE,MSISO,FX_CONTRIB,MSNAME,N_ESC_LEAD,N_ESC,FRESO_AP_CAT_1,FRESO_AP_CAT_2,FRESO_HQ_CAT_1,FRESO_HQ_CAT_2,FRESO_CAT_3,N_MEDS,N_OBS_MS,N_OBS_TC,N_MONITORS_NAT,N_MONITORS_POOL_MS,N_MONITORS_FX,N_MONITORS,N_OBS,N_ESC_OBS_MED
RO-00929,12/02/2019,BEL,170.85,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00920,12/02/2019,DEU,88528.2,Germany,1,47,0,0,0,0,0,2,0,0,0,1,0,1,0,50
RO-00943,14/02/2019,FIN,80844.95,Finland,1,10,0,0,0,0,0,0,0,0,1,0,0,1,0,11
RO-00875,14/02/2019,AUT,58278.01,Austria,1,15,0,0,0,0,0,3,0,0,1,0,0,1,0,19
RO-00875,14/02/2019,DEU,41578.71,Germany,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,17
RO-00984,18/02/2019,ITA,36358.99,Italy,1,47,0,0,0,0,0,2,0,0,1,0,0,1,0,50
RO-00869,18/02/2019,DEU,447029.74,Germany,1,93,0,0,0,0,0,1,0,0,0,1,0,1,0,95
RO-00985,19/02/2019,ITA,131939.33,Italy,1,71,0,0,0,0,0,4,0,0,2,0,0,2,0,76
RO-00930,19/02/2019,FRA,42233.25,France,2,32,0,0,0,0,0,2,3,0,0,1,0,1,3,39
RO-00930,19/02/2019,BEL,170.85,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00883,21/02/2019,DEU,103975.33,Germany,1,38,0,0,0,0,0,1,1,0,0,1,0,1,1,41
RO-00883,21/02/2019,FRA,5393.37,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00883,21/02/2019,LUX,1286.41,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00927,25/02/2019,DEU,195123.33,Germany,1,66,0,0,0,0,0,2,0,0,0,1,0,1,0,69
RO-00932,26/02/2019,FRA,44004.95,France,2,33,0,0,0,0,0,2,4,0,0,1,0,1,4,41
RO-00932,26/02/2019,BEL,170.85,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00926,26/02/2019,DEU,195123.33,Germany,0,44,0,0,0,0,0,4,0,0,0,1,0,1,0,48
RO-00957,27/02/2019,DEU,191297.61,Germany,1,50,0,0,0,0,0,1,0,0,0,1,0,1,0,52
RO-00933,27/02/2019,ESP,363121.88,Spain,1,95,0,0,0,0,0,2,0,0,2,0,0,2,0,98
RO-00933,27/02/2019,FIN,70067.69,Finland,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10
RO-00858,27/02/2019,AUT,369525.02,Austria,1,63,0,0,0,0,0,3,0,0,1,0,0,1,0,67
RO-00858,27/02/2019,FRA,11521.64,France,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7
RO-00858,27/02/2019,DEU,67099.27,Germany,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
RO-00858,27/02/2019,DEU,67099.27,Germany,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,51
RO-00858,27/02/2019,SWE,25803.56,Sweden,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2
RO-00858,27/02/2019,SWE,25803.56,Sweden,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
RO-00858,27/02/2019,CHE,33980.81,Switzerland,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
RO-00942,28/02/2019,DEU,52064.03,Germany,1,17,0,0,0,0,0,1,0,0,0,1,0,1,0,19
RO-00991,04/03/2019,ITA,38380,Italy,1,45,0,0,0,0,0,2,0,0,0,0,0,0,0,48
RO-00945,05/03/2019,DEU,70687.21,Germany,1,71,0,0,0,0,0,2,0,0,0,1,0,1,0,74
RO-00914,06/03/2019,CHE,275086.34,Switzerland,1,25,0,0,0,0,0,4,0,0,1,0,0,1,0,30
RO-00914,06/03/2019,DEU,27257.09,Germany,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
RO-00954,07/03/2019,FRA,44144.2,France,2,35,0,0,0,0,0,2,3,0,0,1,0,1,3,42
