year,destination,eur_total,number_returned,avg_eur_per_person
2017,Pakistan,4481996.02,395,11346.83
2018,Pakistan,3974503.9340999997,390,10191.04
2019,Pakistan,5367674.9612,455,11797.09
2020,Pakistan,3443387.1571,314,10966.2
2021,Pakistan,5718921.311,525,10893.18
2022,Pakistan,3939745.4715,263,14980.02
2023,Pakistan,3152106.2001,224,14071.9
2024,Pakistan,706323.1268000001,139,5081.46
2014,Russia,117982.08,42,2809.1
2015,Russia,447447,11,40677
2016,Russia,95054.52,10,9505.45
2017,Russia,463149.95999999996,84,5513.69
2018,Russia,690877.5639000001,286,2415.66
2019,Russia,741007.6897999999,331,2238.69
2020,Russia,150372.7996,61,2465.13
2021,Russia,893405.7369,270,3308.91
2022,Russia,178582.5036,40,4464.56
2018,Senegal,628021.7067,203,3093.7
2019,Senegal,284147.6026,12,23678.97
2021,Senegal,186705.0044,16,11669.06
2023,Senegal,789233.4728,102,7737.58
2011,Serbia,2946531.84,196,15033.33
2012,Serbia,6232962.84,578,10783.67
2013,Serbia,4151031.48,226,18367.4
2014,Serbia,1284673.14,188,6833.37
2015,Serbia,269725.14,65,4149.62
2016,Serbia,2637649.29,732,3603.35
2017,Serbia,714309.1,637,1121.36
2018,Serbia,232828.0647,243,958.14
2019,Serbia,158915.14729999998,175,908.09
2020,Serbia,381449.63910000003,160,2384.06
2021,Serbia,123093.5682,85,1448.16
2022,Serbia,78262.5366,36,2173.96
2017,Sri Lanka,46985.88,23,2042.86
2018,Sri Lanka,247277.37079999998,11,22479.76
2021,Sri Lanka,917686.5656000001,52,17647.82
2023,Sri Lanka,289220.35329999996,25,11568.81
2016,Sudan,210173.08000000002,40,5254.33
2022,Tajikistan,280585.8122,303,926.03
2016,Tunisia,3002139.4,688,4363.57
2017,Tunisia,3564667.83,1769,2015.08
2018,Tunisia,4853525.634,2115,2294.81
2019,Tunisia,3763427.4681,1567,2401.68
2020,Tunisia,2664935.1667,1457,1829.06
2021,Tunisia,5471907.4515,1993,2745.56
2022,Tunisia,7203151.7037,2367,3043.16
2023,Tunisia,6168075.7974,2098,2939.98
2024,Tunisia,2273195.4355,815,2789.2
2021,Turkey,94826.42,20,4741.32
2010,Ukraine,1735902.48,46,37737.01
2011,Ukraine,831815.88,31,26832.77
2017,Ukraine,396668.26999999996,44,9015.19
2019,Ukraine,139343.47,83,1678.84
2020,Ukraine,345150.8956,147,2347.97
2021,Ukraine,252958.94400000002,114,2218.94
2022,Uzbekistan,245637.40350000001,21,11697.02
2023,Uzbekistan,495096.4753,49,10104.01
2024,Uzbekistan,789652.8854,96,8225.55
2023,"Venezuela, Bolivarian Republic Of",444354.38,180,2468.64
2009,Viet Nam,2275906.2,112,20320.59
2020,Viet Nam,758249.6792,49,15474.48
2021,Viet Nam,225563.19160000002,30,7518.77
2022,Viet Nam,484053.1151,15,32270.21
