ROID,DATE,N_FX_STAFF
RO-01096,10/06/2019,0
RO-01097,11/06/2019,0
RO-01099,13/08/2019,0
RO-01100,21/08/2019,2
RO-01102,02/07/2019,1
RO-01103,09/07/2019,2
RO-01104,16/07/2019,1
RO-01106,16/07/2019,1
RO-01107,17/06/2019,0
RO-01108,10/09/2019,1
RO-01109,22/08/2019,0
RO-01111,14/11/2019,0
RO-01112,24/06/2019,0
RO-01113,20/08/2019,0
RO-01114,27/06/2019,0
RO-01115,17/09/2019,1
RO-01116,21/10/2019,0
RO-01117,10/09/2019,0
RO-01118,26/09/2019,1
RO-01119,01/07/2019,0
RO-01120,04/07/2019,0
RO-01121,09/07/2019,0
RO-01122,11/07/2019,0
RO-01123,19/08/2019,2
RO-01124,17/07/2019,0
RO-01125,17/07/2019,0
RO-01127,13/08/2019,1
RO-01128,20/08/2019,1
RO-01129,27/08/2019,1
RO-01130,03/09/2019,1
RO-01131,10/09/2019,1
RO-01132,17/09/2019,1
RO-01133,24/09/2019,1
RO-01134,12/09/2019,0
RO-01135,25/09/2019,1
RO-01136,23/10/2019,1
RO-01137,04/12/2019,1
RO-01139,15/07/2019,0
RO-01140,29/08/2019,1
RO-01143,18/11/2019,1
RO-01144,11/09/2019,1
RO-01145,04/09/2019,0
RO-01146,18/07/2019,0
RO-01147,29/07/2019,0
RO-01148,05/09/2019,0
RO-01149,09/10/2019,0
RO-01150,10/12/2019,1
RO-01151,14/10/2019,0
RO-01152,29/10/2019,1
RO-01153,01/08/2019,0
RO-01154,28/08/2019,0
RO-01155,08/08/2019,0
RO-01156,15/08/2019,0
RO-01158,12/09/2019,0
RO-01159,22/10/2019,0
RO-01161,08/10/2019,0
RO-01162,06/11/2019,1
RO-01163,03/12/2019,1
RO-01164,15/10/2019,0
RO-01165,14/11/2019,1
RO-01166,19/08/2019,0
RO-01167,22/08/2019,0
RO-01168,16/12/2019,1
RO-01169,26/11/2019,1
RO-01170,21/11/2019,0
RO-01171,16/10/2019,1
RO-01172,13/11/2019,0
RO-01173,11/12/2019,0
RO-01174,12/11/2019,0
RO-01175,26/08/2019,0
RO-01176,03/09/2019,1
RO-01177,29/08/2019,0
RO-01184,27/09/2019,0
RO-01185,05/09/2019,0
RO-01189,29/10/2019,1
RO-01190,09/09/2019,0
RO-01191,10/09/2019,0
RO-01192,21/09/2019,1
RO-01199,11/12/2019,0
RO-01200,25/09/2019,0
RO-01201,16/10/2019,1
RO-01202,22/10/2019,0
RO-01203,10/12/2019,1
RO-01214,12/09/2019,0
RO-01215,08/10/2019,1
RO-01216,15/10/2019,1
RO-01217,23/10/2019,1
RO-01218,29/10/2019,1
RO-01221,16/09/2019,0
RO-01224,19/11/2019,0
RO-01225,04/10/2019,1
RO-01227,19/09/2019,0
RO-01230,29/10/2019,2
RO-01234,17/10/2019,1
RO-01235,19/09/2019,0
RO-01238,23/09/2019,0
RO-01239,26/09/2019,0
RO-01242,18/10/2019,0
RO-01243,30/09/2019,0
RO-01244,11/10/2019,0
RO-01245,15/10/2019,1
RO-01246,03/10/2019,0
RO-01247,06/11/2019,0
RO-01250,07/10/2019,0
RO-01251,04/12/2019,1
RO-01252,10/10/2019,0
RO-01254,05/11/2019,0
RO-01255,13/11/2019,2
RO-01256,19/11/2019,1
RO-01257,03/12/2019,1
RO-01258,10/12/2019,1
RO-01259,17/12/2019,1
RO-01260,28/11/2019,1
RO-01261,17/10/2019,0
RO-01262,21/10/2019,0
RO-01265,20/12/2019,1
RO-01266,06/11/2019,0
RO-01267,13/11/2019,0
RO-01268,28/10/2019,0
RO-01269,24/10/2019,0
RO-01270,11/12/2019,0
RO-01271,09/12/2019,0
RO-01273,18/12/2019,1
RO-01274,12/12/2019,0
RO-01275,31/10/2019,0
RO-01276,30/11/2019,0
RO-01277,20/11/2019,0
RO-01278,11/11/2019,0
RO-01280,03/12/2019,0
RO-01282,18/11/2019,0
RO-01290,25/11/2019,0
RO-01296,02/12/2019,0
RO-01297,05/12/2019,0
RO-01300,03/12/2019,0
RO-01308,09/12/2019,0
RO-01309,16/12/2019,0
RO-01310,26/12/2019,0
RO-01319,16/12/2019,0
RO-01320,21/12/2019,0
RO-01178,07/01/2020,0
RO-01179,04/02/2020,1
RO-01180,03/03/2020,1
RO-01186,14/07/2020,0
RO-01187,14/01/2020,1
RO-01188,12/02/2020,1
RO-01193,16/01/2020,1
RO-01194,11/02/2020,0
RO-01195,05/03/2020,1
RO-01204,22/01/2020,1
RO-01205,19/02/2020,1
RO-01210,13/02/2020,0
RO-01211,07/05/2020,0
RO-01212,11/03/2020,0
RO-01219,05/02/2020,1
RO-01220,04/03/2020,1
RO-01231,06/02/2020,1
RO-01233,26/02/2020,0
RO-01237,30/01/2020,1
RO-01263,23/01/2020,1
RO-01264,28/01/2020,2
RO-01281,03/03/2020,1
RO-01283,18/08/2020,0
RO-01284,07/09/2020,0
RO-01285,08/10/2020,0
RO-01289,26/02/2020,1
RO-01291,22/01/2020,1
RO-01292,05/02/2020,0
RO-01294,18/02/2020,1
RO-01295,28/01/2020,0
RO-01298,27/02/2020,1
RO-01299,21/01/2020,1
RO-01304,18/02/2020,2
RO-01305,05/03/2020,0
RO-01306,15/06/2020,0
RO-01307,20/01/2020,0
RO-01311,07/01/2020,0
RO-01312,14/01/2020,1
RO-01313,21/01/2020,0
RO-01314,10/03/2020,0
RO-01315,24/03/2020,0
RO-01317,28/01/2020,1
RO-01321,14/01/2020,0
RO-01322,19/02/2020,0
RO-01326,26/05/2020,0
RO-01328,23/06/2020,0
RO-01330,02/01/2020,0
RO-01331,21/01/2020,0
RO-01334,13/01/2020,0
RO-01335,04/02/2020,1
RO-01336,11/02/2020,1
RO-01337,18/02/2020,1
RO-01338,25/02/2020,1
RO-01341,01/02/2020,0
RO-01342,03/03/2020,1
RO-01343,10/03/2020,0
RO-01347,11/03/2020,0
RO-01348,23/01/2020,0
RO-01350,17/02/2020,0
RO-01351,02/03/2020,0
RO-01353,07/02/2020,0
RO-01354,25/02/2020,0
RO-01356,30/01/2020,0
RO-01357,18/03/2020,0
RO-01359,06/02/2020,0
RO-01363,27/02/2020,0
RO-01365,05/03/2020,1
RO-01369,17/02/2020,0
RO-01370,24/02/2020,0
RO-01393,28/10/2020,0
RO-01401,18/06/2020,0
RO-01405,04/06/2020,0
RO-01409,20/07/2020,0
RO-01414,17/08/2020,0
RO-01415,19/08/2020,0
RO-01420,16/07/2020,0
RO-01421,10/06/2020,0
RO-01425,15/06/2020,0
RO-01426,22/07/2020,0
RO-01428,28/07/2020,0
RO-01429,30/06/2020,0
RO-01430,16/06/2020,0
RO-01434,15/07/2020,0
RO-01435,30/07/2020,0
RO-01436,02/07/2020,0
RO-01437,08/07/2020,0
RO-01438,20/08/2020,0
RO-01439,25/08/2020,0
RO-01441,10/09/2020,0
RO-01442,16/07/2020,0
RO-01443,27/08/2020,0
RO-01444,02/09/2020,0
RO-01446,22/07/2020,0
RO-01448,17/09/2020,0
RO-01454,30/09/2020,0
RO-01456,16/07/2020,0
RO-01458,30/09/2020,0
RO-01460,04/08/2020,0
RO-01461,23/07/2020,0
RO-01462,24/07/2020,0
RO-01463,16/07/2020,0
RO-01464,22/07/2020,0
RO-01465,30/07/2020,0
RO-01466,26/08/2020,0
RO-01467,27/07/2020,0
RO-01468,07/08/2020,0
RO-01469,12/08/2020,0
RO-01470,12/08/2020,0
RO-01471,19/08/2020,0
RO-01472,30/07/2020,0
RO-01474,03/08/2020,0
RO-01475,06/08/2020,0
RO-01478,02/09/2020,0
RO-01479,28/09/2020,0
RO-01480,10/08/2020,0
RO-01481,06/08/2020,0
RO-01482,20/08/2020,0
RO-01484,13/08/2020,0
RO-01485,26/08/2020,0
RO-01486,02/09/2020,0
RO-01487,10/09/2020,0
RO-01489,17/08/2020,0
RO-01490,20/08/2020,0
RO-01491,01/09/2020,0
RO-01492,15/09/2020,0
RO-01493,29/09/2020,0
RO-01494,27/08/2020,0
RO-01495,24/08/2020,0
RO-01496,15/10/2020,0
RO-01497,06/10/2020,0
RO-01498,07/10/2020,0
RO-01508,24/09/2020,0
RO-01509,30/09/2020,0
RO-01510,06/10/2020,0
RO-01511,24/11/2020,0
RO-01512,13/10/2020,0
RO-01513,20/10/2020,0
RO-01514,27/10/2020,0
RO-01515,31/08/2020,0
RO-01516,14/10/2020,0
RO-01517,07/09/2020,0
RO-01518,03/09/2020,0
RO-01519,10/09/2020,0
RO-01520,14/09/2020,0
RO-01522,17/09/2020,0
RO-01523,27/10/2020,1
RO-01524,03/11/2020,0
RO-01525,03/11/2020,0
RO-01526,05/11/2020,0
RO-01527,18/11/2020,0
RO-01528,10/11/2020,0
RO-01529,11/11/2020,0
RO-01530,10/11/2020,0
RO-01532,17/11/2020,1
RO-01533,19/11/2020,0
RO-01535,26/11/2020,0
RO-01536,26/11/2020,0
RO-01537,24/11/2020,0
RO-01542,01/12/2020,0
RO-01543,07/10/2020,0
RO-01544,25/09/2020,0
RO-01545,03/12/2020,0
RO-01546,21/09/2020,0
RO-01547,12/11/2020,0
RO-01548,09/11/2020,0
RO-01549,24/09/2020,0
RO-01551,24/09/2020,0
RO-01552,17/11/2020,0
RO-01553,28/09/2020,0
RO-01555,01/10/2020,0
RO-01556,04/11/2020,0
RO-01557,05/10/2020,0
RO-01558,12/11/2020,0
RO-01559,08/10/2020,0
RO-01560,12/10/2020,0
RO-01561,17/11/2020,0
RO-01562,02/12/2020,0
RO-01563,21/10/2020,0
RO-01564,15/10/2020,0
RO-01565,13/10/2020,0
RO-01566,11/11/2020,0
RO-01568,19/10/2020,0
RO-01570,29/10/2020,0
RO-01571,20/10/2020,0
RO-01572,22/10/2020,0
RO-01573,17/12/2020,2
RO-01574,23/11/2020,0
RO-01575,02/12/2020,0
RO-01576,26/10/2020,0
RO-01577,10/11/2020,0
RO-01578,29/10/2020,0
RO-01580,01/12/2020,0
RO-01583,10/12/2020,0
RO-01584,11/12/2020,0
RO-01585,17/12/2020,0
RO-01586,09/12/2020,0
RO-01587,15/12/2020,1
RO-01588,23/12/2020,0
RO-01589,29/12/2020,0
RO-01590,08/12/2020,0
RO-01591,10/12/2020,1
RO-01592,15/12/2020,0
RO-01593,03/12/2020,0
RO-01594,16/12/2020,0
RO-01595,18/12/2020,0
RO-01596,21/12/2020,0
RO-01597,16/12/2020,0
RO-01598,01/12/2020,0
RO-01599,18/12/2020,0
RO-01600,10/12/2020,0
RO-01601,16/12/2020,0
RO-01602,03/12/2020,0
RO-01603,28/12/2020,0
RO-01622,07/12/2020,0
RO-01623,10/12/2020,0
RO-01624,16/12/2020,0
RO-01629,15/12/2020,0
RO-01630,14/12/2020,0
RO-01631,17/12/2020,0
RO-01633,21/12/2020,0
RO-01604,06/01/2021,0
RO-01605,13/01/2021,0
RO-01606,15/01/2021,0
RO-01607,12/01/2021,0
RO-01609,12/01/2021,0
RO-01610,21/01/2021,0
RO-01611,21/01/2021,0
RO-01612,19/01/2021,0
RO-01614,19/01/2021,0
RO-01615,19/01/2021,0
RO-01616,19/01/2021,0
RO-01618,26/01/2021,0
RO-01619,26/01/2021,2
RO-01625,27/01/2021,1
RO-01626,28/01/2021,0
RO-01627,18/01/2021,0
RO-01628,26/01/2021,0
RO-01632,07/01/2021,0
RO-01635,29/01/2021,0
RO-01636,02/02/2021,0
RO-01637,02/02/2021,0
RO-01639,02/02/2021,0
RO-01640,09/02/2021,0
RO-01641,11/02/2021,0
RO-01642,09/02/2021,0
RO-01643,11/02/2021,0
RO-01644,09/02/2021,0
RO-01645,16/02/2021,0
RO-01647,23/02/2021,1
