OPTYPE,ROID,N_FX_STAFF,DATE
CRO,RO-01074,1,2019-06-12
JRO,RO-01001,1,2019-06-13
JRO,RO-01080,0,2019-06-17
NRO,RO-01107,0,2019-06-17
NRO,RO-01042,1,2019-06-18
CRO,RO-01070,1,2019-06-18
NRO,RO-01095,0,2019-06-22
NRO,RO-01112,0,2019-06-24
CRO,RO-00949,1,2019-06-25
JRO,RO-01002,1,2019-06-25
CRO,RO-01071,1,2019-06-25
JRO,RO-00970,2,2019-06-26
NRO,RO-01032,0,2019-06-27
JRO,RO-01035,0,2019-06-27
NRO,RO-01092,0,2019-06-27
NRO,RO-01114,0,2019-06-27
CRO,RO-01072,2,2019-06-28
NRO,RO-01119,0,2019-07-01
JRO,RO-01047,0,2019-07-02
CRO,RO-01102,1,2019-07-02
JRO,RO-01061,1,2019-07-03
JRO,RO-01060,1,2019-07-04
NRO,RO-01120,0,2019-07-04
CRO,RO-01103,2,2019-07-09
NRO,RO-01121,0,2019-07-09
JRO,RO-01073,0,2019-07-11
NRO,RO-01122,0,2019-07-11
JRO,RO-01094,1,2019-07-15
NRO,RO-01139,0,2019-07-15
CRO,RO-01104,1,2019-07-16
NRO,RO-01106,1,2019-07-16
JRO,RO-01124,0,2019-07-17
JRO,RO-01125,0,2019-07-17
NRO,RO-01146,0,2019-07-18
JRO,RO-01036,0,2019-07-22
JRO,RO-00916,1,2019-07-23
CRO,RO-01075,1,2019-07-23
JRO,RO-00973,2,2019-07-24
CRO,RO-00989,1,2019-07-25
NRO,RO-01147,0,2019-07-29
JRO,RO-01088,2,2019-07-30
NRO,RO-01153,0,2019-08-01
NRO,RO-01155,0,2019-08-08
CRO,RO-01127,1,2019-08-13
JRO,RO-01099,0,2019-08-13
JRO,RO-01076,0,2019-08-13
NRO,RO-01156,0,2019-08-15
NRO,RO-01166,0,2019-08-19
JRO,RO-01123,2,2019-08-19
CRO,RO-01128,1,2019-08-20
NRO,RO-01113,0,2019-08-20
JRO,RO-01100,2,2019-08-21
NRO,RO-01167,1,2019-08-22
JRO,RO-01109,0,2019-08-22
NRO,RO-01175,0,2019-08-26
CRO,RO-01129,1,2019-08-27
JRO,RO-01089,1,2019-08-27
NRO,RO-01154,0,2019-08-28
JRO,RO-01077,1,2019-08-28
JRO,RO-00971,1,2019-08-28
NRO,RO-01177,0,2019-08-29
JRO,RO-01140,1,2019-08-29
NRO,RO-01160,0,2019-09-02
JRO,RO-01176,1,2019-09-03
CRO,RO-01130,1,2019-09-03
JRO,RO-01090,0,2019-09-03
JRO,RO-01145,0,2019-09-04
NRO,RO-01185,0,2019-09-05
JRO,RO-01148,0,2019-09-05
JRO,RO-01041,0,2019-09-05
NRO,RO-01190,0,2019-09-09
NRO,RO-01191,0,2019-09-10
CRO,RO-01131,1,2019-09-10
JRO,RO-01117,0,2019-09-10
CRO,RO-01108,1,2019-09-10
JRO,RO-01087,0,2019-09-10
JRO,RO-01144,1,2019-09-11
NRO,RO-01056,1,2019-09-11
NRO,RO-01214,0,2019-09-12
JRO,RO-01158,0,2019-09-12
JRO,RO-01134,0,2019-09-12
NRO,RO-01221,1,2019-09-16
CRO,RO-01132,1,2019-09-17
JRO,RO-01115,1,2019-09-17
NRO,RO-01093,0,2019-09-18
NRO,RO-01227,0,2019-09-19
NRO,RO-01235,0,2019-09-19
NRO,RO-01192,1,2019-09-21
NRO,RO-01238,0,2019-09-23
CRO,RO-01133,1,2019-09-24
JRO,RO-01066,1,2019-09-24
CRO,RO-00950,1,2019-09-24
NRO,RO-01200,0,2019-09-25
JRO,RO-01135,1,2019-09-25
NRO,RO-01239,0,2019-09-26
JRO,RO-01118,1,2019-09-26
NRO,RO-01079,0,2019-09-26
NRO,RO-01184,0,2019-09-27
NRO,RO-01243,0,2019-09-30
JRO,RO-01048,1,2019-10-01
NRO,RO-01246,0,2019-10-03
CRO,RO-01225,1,2019-10-04
NRO,RO-01250,0,2019-10-07
CRO,RO-01215,1,2019-10-08
JRO,RO-01161,0,2019-10-08
JRO,RO-01149,0,2019-10-09
NRO,RO-01252,0,2019-10-10
NRO,RO-01244,0,2019-10-11
JRO,RO-01151,0,2019-10-14
JRO,RO-01245,1,2019-10-15
CRO,RO-01216,1,2019-10-15
JRO,RO-01164,0,2019-10-15
JRO,RO-01201,1,2019-10-16
JRO,RO-01171,1,2019-10-16
NRO,RO-01261,0,2019-10-17
NRO,RO-01234,1,2019-10-17
JRO,RO-01242,0,2019-10-18
NRO,RO-01262,0,2019-10-21
NRO,RO-01116,0,2019-10-21
NRO,RO-01202,0,2019-10-22
JRO,RO-01159,0,2019-10-22
CRO,RO-01037,2,2019-10-22
CRO,RO-01217,1,2019-10-23
JRO,RO-01136,1,2019-10-23
NRO,RO-01269,0,2019-10-24
NRO,RO-01268,0,2019-10-28
JRO,RO-01249,0,2019-10-28
CRO,RO-01230,2,2019-10-29
CRO,RO-01218,1,2019-10-29
JRO,RO-01189,1,2019-10-29
JRO,RO-01152,1,2019-10-29
NRO,RO-01275,0,2019-10-31
CRO,RO-01254,0,2019-11-05
NRO,RO-01266,0,2019-11-06
JRO,RO-01247,0,2019-11-06
JRO,RO-01162,1,2019-11-06
NRO,RO-01278,0,2019-11-11
JRO,RO-01174,0,2019-11-12
NRO,RO-01267,0,2019-11-13
CRO,RO-01255,2,2019-11-13
JRO,RO-01172,0,2019-11-13
JRO,RO-01049,1,2019-11-13
NRO,RO-01165,1,2019-11-14
JRO,RO-01111,0,2019-11-14
NRO,RO-01282,0,2019-11-18
JRO,RO-01143,1,2019-11-18
CRO,RO-01256,1,2019-11-19
JRO,RO-01224,1,2019-11-19
NRO,RO-01277,0,2019-11-20
NRO,RO-01170,0,2019-11-21
JRO,RO-01067,1,2019-11-21
NRO,RO-01290,0,2019-11-25
JRO,RO-01169,1,2019-11-26
CRO,RO-01105,1,2019-11-26
JRO,RO-01050,1,2019-11-27
JRO,RO-01260,1,2019-11-28
NRO,RO-01276,0,2019-11-30
NRO,RO-01296,0,2019-12-02
NRO,RO-01300,0,2019-12-03
NRO,RO-01280,0,2019-12-03
CRO,RO-01257,1,2019-12-03
JRO,RO-01163,1,2019-12-03
JRO,RO-01251,1,2019-12-04
JRO,RO-01137,1,2019-12-04
NRO,RO-01297,0,2019-12-05
CRO,RO-01038,1,2019-12-05
NRO,RO-01308,0,2019-12-09
JRO,RO-01271,0,2019-12-09
CRO,RO-01258,1,2019-12-10
JRO,RO-01203,1,2019-12-10
JRO,RO-01150,1,2019-12-10
JRO,RO-01270,0,2019-12-11
JRO,RO-01199,0,2019-12-11
JRO,RO-01173,0,2019-12-11
NRO,RO-01274,0,2019-12-12
NRO,RO-01319,0,2019-12-16
NRO,RO-01309,0,2019-12-16
JRO,RO-01168,1,2019-12-16
CRO,RO-01259,1,2019-12-17
JRO,RO-01068,1,2019-12-17
NRO,RO-01273,1,2019-12-18
CRO,RO-01265,1,2019-12-20
NRO,RO-01320,0,2019-12-21
NRO,RO-01310,0,2019-12-26
NRO,RO-01330,0,2020-01-02
NRO,RO-01178,0,2020-01-07
CRO,RO-01311,0,2020-01-07
NRO,RO-01334,0,2020-01-13
NRO,RO-01187,1,2020-01-14
CRO,RO-01312,1,2020-01-14
NRO,RO-01321,0,2020-01-14
CRO,RO-01193,1,2020-01-16
NRO,RO-01307,0,2020-01-20
JRO,RO-01299,1,2020-01-21
CRO,RO-01313,0,2020-01-21
NRO,RO-01331,0,2020-01-21
JRO,RO-01204,1,2020-01-22
NRO,RO-01291,1,2020-01-22
JRO,RO-01263,1,2020-01-23
NRO,RO-01348,0,2020-01-23
NRO,RO-01333,0,2020-01-27
NRO,RO-01264,2,2020-01-28
NRO,RO-01295,0,2020-01-28
CRO,RO-01317,1,2020-01-28
NRO,RO-01237,1,2020-01-30
NRO,RO-01356,0,2020-01-30
NRO,RO-01341,0,2020-02-01
JRO,RO-01179,1,2020-02-04
CRO,RO-01335,1,2020-02-04
JRO,RO-01219,1,2020-02-05
NRO,RO-01292,0,2020-02-05
JRO,RO-01231,1,2020-02-06
NRO,RO-01359,0,2020-02-06
NRO,RO-01353,0,2020-02-07
CRO,RO-01194,0,2020-02-11
CRO,RO-01336,1,2020-02-11
NRO,RO-01188,1,2020-02-12
NRO,RO-01210,0,2020-02-13
NRO,RO-01350,0,2020-02-17
NRO,RO-01369,0,2020-02-17
NRO,RO-01294,1,2020-02-18
NRO,RO-01304,2,2020-02-18
CRO,RO-01337,1,2020-02-18
JRO,RO-01205,1,2020-02-19
NRO,RO-01322,0,2020-02-19
