Date ROID,,TOTAL PAID,comment
29/04/2021 RO-01719,,"€ 79,663.27",
29/04/2021 RO-01721,,"€ 107,342.11",
03/05/2021 RO-01807,,"€ 80,699.00",
04/05/2021 RO-01778,,"€ 44,730.88",
06/05/2021 RO-01699,,"€ 52,623.57",
06/05/2021 RO-01750,,"€ 147,507.58",
10/05/2021 RO-01815,,"€ 72,265.50",
11/05/2021 RO-01753,,"€ 63,016.00",
11/05/2021 RO-01769,,"€ 83,613.15",
11/05/2021 RO-01771,,"€ 164,925.00",
11/05/2021 RO-01779,,"€ 41,859.56",
17/05/2021 RO-01757,,"€ 87,714.70",
17/05/2021 RO-01839,,"€ 51,510.00",
18/05/2021 RO-01756,,"€ 358,587.72",
18/05/2021 RO-01766,,"€ 98,944.01",
18/05/2021 RO-01770,,"€ 658,634.89",
18/05/2021 RO-01780,,"€ 43,874.95",
19/05/2021 RO-01758,,"€ 83,063.35",
20/05/2021 RO-01755,,"€ 133,782.99",
20/05/2021 RO-01759,,"€ 172,408.56",
21/05/2021 RO-01837,,"€ 54,439.00",
24/05/2021 RO-01840,,"€ 47,762.90",
25/05/2021 RO-01781,,"€ 47,163.07",
26/05/2021 RO-01760,,"€ 395,618.90",
26/05/2021 RO-01806,,"€ 208,421.53",
27/05/2021 RO-01786,,"€ 110,868.70",
27/05/2021 RO-01843,,"€ 47,863.90",
01/06/2021 RO-01762,,"€ 167,298.54",
Date ROID,,TOTAL PAID,comment
01/06/2021 RO-01763,,"€ 76,110.60",
01/06/2021 RO-01764,,"€ 85,579.96",
01/06/2021 RO-01809,,"€ 64,793.63",
02/06/2021 RO-01787,,"€ 93,010.78",
02/06/2021 RO-01838,,"€ 266,403.81",
04/06/2021 RO-01847,,"€ 54,944.00",
07/06/2021 RO-01849,,"€ 50,550.50",
08/06/2021 RO-01789,,"€ 406,610.81",
08/06/2021 RO-01810,,"€ 46,595.31",
09/06/2021 RO-01805,,"€ 508,492.36",
10/06/2021 RO-01788,,"€ 133,505.45",
14/06/2021 RO-01851,,"€ 45,349.00",
15/06/2021 RO-01790,,"€ 111,370.14",
15/06/2021 RO-01791,,"€ 639,995.43",
15/06/2021 RO-01812,,"€ 46,397.92",
15/06/2021 RO-01816,,"€ 249,120.52",
16/06/2021 RO-01708,,"€ 225,563.19",
16/06/2021 RO-01793,,"€ 86,096.31",
16/06/2021 RO-01801,,"€ 383,727.80",
17/06/2021 RO-01794,,"€ 177,908.04",
17/06/2021 RO-01866,,"€ 79,891.00",
21/06/2021 RO-01867,,"€ 85,839.90",
22/06/2021 RO-01795,,"€ 409,926.80",
22/06/2021 RO-01798,,"€ 417,941.78",
22/06/2021 RO-01813,,"€ 45,841.49",
24/06/2021 RO-01796,,"€ 97,895.71",
24/06/2021 RO-01872,,"€ 72,720.00",
25/06/2021 RO-01797,,"€ 128,972.13",
28/06/2021 RO-01799,,"€ 203,159.44",
28/06/2021 RO-01874,,"€ 64,892.50",
29/06/2021 RO-01814,,"€ 44,282.96",
01/07/2021 RO-01800,,"€ 146,605.37",
01/07/2021 RO-01803,,"€ 134,850.21",
01/07/2021 RO-01808,,"€ 116,582.12",
01/07/2021 RO-01848,,"€ 51,843.30",
01/07/2021 RO-01877,,"€ 49,793.00",
02/07/2021 RO-01876,,"€ 76,255.00",
05/07/2021 RO-01909,,"€ 51,510.00",
06/07/2021 RO-01817,,"€ 48,851.07",
06/07/2021 RO-01841,,"€ 444,442.84",
07/07/2021 RO-01818,,"€ 177,495.22",
12/07/2021 RO-01885,,"€ 48,974.90",
13/07/2021 RO-01823,,"€ 178,557.71",
13/07/2021 RO-01882,,"€ 66,256.00",
14/07/2021 RO-01821,,"€ 87,217.73",
15/07/2021 RO-01820,,"€ 74,312.70",
15/07/2021 RO-01822,,"€ 108,244.08",
15/07/2021 RO-01842,,"€ 126,858.03",
20/07/2021 RO-01825,,"€ 45,791.32",
20/07/2021 RO-01827,,"€ 116,321.05",
20/07/2021 RO-01844,,"€ 75,150.00",
22/07/2021 RO-01829,,"€ 89,808.16",
22/07/2021 RO-01903,,"€ 42,319.00",
23/07/2021 RO-01873,,"€ 93,914.59",
27/07/2021 RO-01830,,"€ 385,841.68",
27/07/2021 RO-01845,,"€ 94,568.93",
27/07/2021 RO-01902,,"€ 74,184.50",
28/07/2021 RO-01832,,"€ 354,967.22",
29/07/2021 RO-01835,,"€ 106,425.09",
29/07/2021 RO-01904,,"€ 51,207.00",
30/07/2021 RO-01834,,"€ 97,807.78",
03/08/2021 RO-01868,,"€ 49,635.39",
04/08/2021 RO-01875,,"€ 93,700.39",
05/08/2021 RO-01905,,"€ 61,509.00",
09/08/2021 RO-01911,,"€ 71,962.50",
10/08/2021 RO-01854,,"€ 109,691.34",
10/08/2021 RO-01907,,"€ 46,689.36",
11/08/2021 RO-01857,,"€ 69,159.22",
12/08/2021 RO-01858,,"€ 130,001.22",
Date ROID,,TOTAL PAID comment
12/08/2021 RO-01916,,"€ 64,640.00"
13/08/2021 RO-01853,,"€ 99,525.14"
16/08/2021 RO-01918,,"€ 41,915.00"
17/08/2021 RO-01869,,"€ 62,996.14"
19/08/2021 RO-01871,,"€ 42,202.85"
19/08/2021 RO-01919,,"€ 50,368.70"
23/08/2021 RO-01860,,"€ 368,343.32"
23/08/2021 RO-01921,,"€ 43,935.00"
24/08/2021 RO-01862,,"€ 386,847.14"
26/08/2021 RO-01937,,"€ 40,854.50"
27/08/2021 RO-01861,,"€ 88,510.51"
30/08/2021 RO-01940,,"€ 61,509.00"
31/08/2021 RO-01870,,"€ 48,773.61"
31/08/2021 RO-01917,,"€ 100,512.63"
31/08/2021 RO-01938,,"€ 56,459.00"
01/09/2021 RO-01879,,"€ 264,850.60"
02/09/2021 RO-01884,,"€ 231,676.91"
02/09/2021 RO-01943,,"€ 60,499.00"
06/09/2021 RO-01944,,"€ 59,489.00"
07/09/2021 RO-01912,,"€ 46,391.56"
07/09/2021 RO-01945,,"€ 76,760.00"
09/09/2021 RO-01887,,"€ 164,022.23"
09/09/2021 RO-01888,,"€ 102,687.70"
09/09/2021 RO-01946,,"€ 75,548.00"
13/09/2021 RO-01949,,"€ 56,661.00"
14/09/2021 RO-01894,,"€ 164,738.97"
14/09/2021 RO-01913,,"€ 44,142.48"
14/09/2021 RO-01941,,"€ 107,737.27"
15/09/2021 RO-01893,,"€ 83,137.71"
16/09/2021 RO-01950,,"€ 50,399.00"
17/09/2021 RO-01892,,"€ 98,732.43"
20/09/2021 RO-01952,,"€ 82,820.00"
21/09/2021 RO-01897,,"€ 422,472.22"
21/09/2021 RO-01899,,"€ 374,099.01"
