RO-ID,Date,MS/SAC,TOTAL PAID
RO-01330,02/01/2020,ITA,"€                                                    4 9,883.90"
RO-01311,07/01/2020,FRA,"€                                                    4 4,894.47"
RO-01311,07/01/2020,BEL,€                                                         140.71
RO-01178,07/01/2020,DEU,"€                                                  3 89,219.07"
RO-01334,13/01/2020,ITA,"€                                                    4 3,318.90"
RO-01321,14/01/2020,GRC,€                                                              -
RO-01321,14/01/2020,BEL,"€                                                  3 33,300.00"
RO-01187,14/01/2020,DEU,"€                                                  3 98,980.41"
RO-01312,14/01/2020,FRA,"€                                                    4 1,936.81"
RO-01312,14/01/2020,BEL,€                                                         141.28
RO-01193,16/01/2020,DEU,"€                                                  1 06,979.74"
RO-01193,16/01/2020,SWE,"€                                                    1 9,739.44"
RO-01193,16/01/2020,FRA,"€                                                      8,990.62"
RO-01307,20/01/2020,ESP,"€                                                    9 2,769.61"
RO-01331,21/01/2020,ITA,"€                                                    5 7,570.00"
RO-01313,21/01/2020,FRA,"€                                                    4 2,235.03"
RO-01313,21/01/2020,BEL,€                                                         145.80
RO-01299,21/01/2020,DEU,"€                                                  1 56,428.76"
RO-01299,21/01/2020,BEL,"€                                                      4,753.87"
RO-01204,22/01/2020,AUT,"€                                                  3 11,244.04"
RO-01204,22/01/2020,GRC,€                                                              -
RO-01204,22/01/2020,BEL,"€                                                      6,169.08"
RO-01204,22/01/2020,DEU,"€                                                    4 6,121.49"
RO-01291,22/01/2020,DEU,"€                                                    9 0,038.70"
RO-01348,23/01/2020,ITA,"€                                                    4 3,318.90"
RO-01263,23/01/2020,DEU,"€                                                    8 6,284.13"
RO-01263,23/01/2020,FIN,"€                                                    3 3,672.39"
RO-01333,27/01/2020,ESP,"€                                                    9 7,755.78"
RO-01317,28/01/2020,FRA,"€                                                    5 9,825.19"
RO-01295,28/01/2020,DEU,"€                                                  1 02,488.70"
RO-01264,28/01/2020,DEU,"€                                                    8 4,420.63"
RO-01356,30/01/2020,ITA,"€                                                    3 9,884.90"
RO-01237,30/01/2020,DEU,"€                                                  1 90,695.97"
RO-01341,01/02/2020,ITA,"€                                                  1 67,336.80"
RO-01335,04/02/2020,FRA,"€                                                    4 4,530.69"
RO-01335,04/02/2020,BEL,€                                                         141.56
RO-01179,04/02/2020,DEU,"€                                                  3 60,422.63"
RO-01179,04/02/2020,POL,"€                                                      7,221.50"
RO-01292,05/02/2020,DEU,"€                                                    8 7,159.90"
RO-01219,05/02/2020,SWE,"€                                                  5 59,496.07"
RO-01219,05/02/2020,BGR,"€                                                      5,731.75"
RO-01219,05/02/2020,AUT,"€                                                    2 7,159.91"
RO-01219,05/02/2020,GRC,€                                                              -
RO-01359,06/02/2020,ITA,"€                                                    4 0,894.90"
RO-01231,06/02/2020,DEU,"€                                                  1 75,524.67"
