"",,,,Number of TCNs
Date of Departure,Operation ID,MS,OMS/PMS/LMS,
"",,,,(accepted)
04/01/2021,RO-01656,Italy,OMS,36
06/01/2021,RO-01604,France,OMS,20
07/01/2021,RO-01632,Luxembourg,OMS,12
07/01/2021,RO-01658,Italy,OMS,40
12/01/2021,RO-01607,France,OMS,17
12/01/2021,RO-01609,Germany,OMS,26
13/01/2021,RO-01605,Germany,OMS,12
15/01/2021,RO-01606,Austria,PMS,3
15/01/2021,RO-01606,Germany,OMS,53
15/01/2021,RO-01660,Italy,OMS,37
18/01/2021,RO-01627,Germany,OMS,23
18/01/2021,RO-01627,Romania,PMS,1
19/01/2021,RO-01612,Germany,OMS,25
19/01/2021,RO-01614,Germany,OMS,41
19/01/2021,RO-01615,France,OMS,15
19/01/2021,RO-01616,Austria,PMS,13
19/01/2021,RO-01616,Germany,OMS,24
19/01/2021,RO-01616,Hungary,PMS,1
21/01/2021,RO-01610,France,PMS,5
21/01/2021,RO-01610,Germany,OMS,74
21/01/2021,RO-01611,Germany,OMS,61
21/01/2021,RO-01671,Italy,OMS,17
22/01/2021,RO-01657,Germany,OMS,20
26/01/2021,RO-01618,Germany,OMS,16
26/01/2021,RO-01619,France,OMS,9
26/01/2021,RO-01628,Greece,OMS,25
27/01/2021,RO-01625,Germany,PMS,3
27/01/2021,RO-01625,Switzerland,OMS,4
27/01/2021,RO-01659,Germany,OMS,9
28/01/2021,RO-01626,Austria,OMS,14
28/01/2021,RO-01626,Germany,PMS,9
28/01/2021,RO-01626,Switzerland,PMS,1
28/01/2021,RO-01698,Italy,OMS,21
29/01/2021,RO-01635,Germany,OMS,42
29/01/2021,RO-01663,France,OMS,21
02/02/2021,RO-01636,France,OMS,18
02/02/2021,RO-01637,Germany,OMS,25
02/02/2021,RO-01639,Germany,OMS,48
04/02/2021,RO-01669,Germany,OMS,28
08/02/2021,RO-01706,Italy,OMS,21
09/02/2021,RO-01640,France,OMS,10
09/02/2021,RO-01642,Belgium,PMS,1
09/02/2021,RO-01642,Germany,OMS,14
09/02/2021,RO-01644,Germany,OMS,26
10/02/2021,RO-01653,Austria,OMS,6
10/02/2021,RO-01653,Greece,PMS,15
10/02/2021,RO-01653,Slovenia,PMS,1
11/02/2021,RO-01641,Germany,OMS,37
11/02/2021,RO-01643,Germany,OMS,45
11/02/2021,RO-01643,Italy,PMS,4
11/02/2021,RO-01723,Italy,OMS,13
15/02/2021,RO-01725,Italy,OMS,2
16/02/2021,RO-01645,France,OMS,16
17/02/2021,RO-01654,Germany,OMS,16
18/02/2021,RO-01724,Italy,OMS,35
22/02/2021,RO-01729,Italy,OMS,16
23/02/2021,RO-01647,France,OMS,40
23/02/2021,RO-01648,Austria,PMS,17
23/02/2021,RO-01648,Belgium,PMS,2
23/02/2021,RO-01648,Bulgaria,PMS,2
23/02/2021,RO-01648,Hungary,PMS,2
23/02/2021,RO-01648,Luxembourg,PMS,1
23/02/2021,RO-01648,Slovakia,PMS,1
23/02/2021,RO-01648,Sweden,OMS,12
23/02/2021,RO-01665,Germany,OMS,22
23/02/2021,RO-01668,Germany,OMS,32
25/02/2021,RO-01650,Germany,OMS,68
25/02/2021,RO-01667,Germany,OMS,39
25/02/2021,RO-01707,Germany,OMS,48
"",,,,Number of TCNs
Date of Departure,Operation ID,MS,OMS/PMS/LMS,
"",,,,(accepted)
01/03/2021,RO-01736,Italy,OMS,26
02/03/2021,RO-01704,Greece,OMS,25
02/03/2021,RO-01737,France,OMS,10
03/03/2021,RO-01674,Germany,OMS,21
03/03/2021,RO-01675,Finland,PMS,1
03/03/2021,RO-01675,Germany,OMS,22
03/03/2021,RO-01675,Sweden,PMS,1
04/03/2021,RO-01705,Germany,OMS,40
04/03/2021,RO-01739,Italy,OMS,30
08/03/2021,RO-01743,Italy,OMS,11
09/03/2021,RO-01679,Germany,OMS,26
09/03/2021,RO-01740,France,OMS,18
11/03/2021,RO-01676,Germany,OMS,47
11/03/2021,RO-01676,Iceland,PMS,6
11/03/2021,RO-01678,Austria,OMS,8
11/03/2021,RO-01678,Czech Republic,PMS,2
11/03/2021,RO-01678,Greece,PMS,6
11/03/2021,RO-01678,Sweden,PMS,2
11/03/2021,RO-01746,Italy,OMS,17
12/03/2021,RO-01677,Germany,OMS,41
16/03/2021,RO-01682,Belgium,PMS,1
16/03/2021,RO-01682,Germany,OMS,22
16/03/2021,RO-01682,Sweden,PMS,1
16/03/2021,RO-01683,Germany,OMS,27
16/03/2021,RO-01683,Poland,PMS,2
16/03/2021,RO-01744,France,OMS,14
18/03/2021,RO-01765,Italy,OMS,24
19/03/2021,RO-01681,Germany,OMS,43
19/03/2021,RO-01681,Sweden,PMS,6
19/03/2021,RO-01747,Italy,OMS,17
22/03/2021,RO-01768,Italy,OMS,24
23/03/2021,RO-01685,Poland,PMS,1
23/03/2021,RO-01685,Portugal,PMS,1
23/03/2021,RO-01685,Spain,OMS,94
23/03/2021,RO-01685,Sweden,PMS,5
23/03/2021,RO-01686,Germany,OMS,17
23/03/2021,RO-01686,Sweden,PMS,2
23/03/2021,RO-01687,Germany,OMS,15
23/03/2021,RO-01745,France,OMS,13
24/03/2021,RO-01732,Germany,OMS,58
25/03/2021,RO-01684,Germany,OMS,41
25/03/2021,RO-01684,Italy,PMS,4
25/03/2021,RO-01772,Italy,OMS,20
29/03/2021,RO-01702,Germany,OMS,31
29/03/2021,RO-01702,Norway,PMS,2
29/03/2021,RO-01773,Italy,OMS,21
30/03/2021,RO-01689,Germany,OMS,20
30/03/2021,RO-01689,Switzerland,PMS,4
30/03/2021,RO-01691,Austria,PMS,15
30/03/2021,RO-01691,Bulgaria,PMS,1
30/03/2021,RO-01691,Hungary,PMS,3
30/03/2021,RO-01691,Romania,PMS,2
30/03/2021,RO-01691,Sweden,OMS,8
30/03/2021,RO-01749,France,OMS,16
31/03/2021,RO-01690,Germany,OMS,34
31/03/2021,RO-01703,Germany,OMS,32
01/04/2021,RO-01774,Italy,OMS,28
06/04/2021,RO-01734,France,OMS,15
06/04/2021,RO-01734,Luxembourg,PMS,1
07/04/2021,RO-01710,Germany,OMS,20
08/04/2021,RO-01673,Austria,OMS,11
08/04/2021,RO-01673,Belgium,PMS,4
08/04/2021,RO-01709,France,PMS,3
08/04/2021,RO-01709,Germany,OMS,45
08/04/2021,RO-01709,Italy,PMS,4
08/04/2021,RO-01775,Italy,OMS,17
13/04/2021,RO-01712,Germany,OMS,44
