"",RO-ID,RO Date,MSSAC,"EscortLeaders",Escorts,"FRESO airport CAT1","FRESO airport CAT2","FRESO HQ CAT1","FRESO HQCAT 2","FRESO CAT3",Medical Personnel,"Observers(MS)","Observers(TC)","Monitorsnational","Monitors fromPool (MS)","Monitors fromPool (FRO)"
"",RO-01604,06/01/2021,France,1,48,0,0,0,0,0,2,3,0,0,1,0
"",RO-01605,13/01/2021,Germany,1,54,0,0,0,0,0,2,0,0,0,1,0
"",RO-01606,15/01/2021,Germany,1,51,0,0,0,0,0,2,0,0,0,0,0
"",RO-01606,15/01/2021,Austria,0,3,0,0,0,0,0,0,0,0,0,0,0
"",RO-01606,15/01/2021,Austria,1,3,0,0,0,0,0,0,0,0,1,0,0
"",RO-01607,12/01/2021,France,1,46,0,0,0,0,0,2,4,0,0,1,0
"",RO-01609,12/01/2021,Germany,1,83,0,0,0,0,0,2,0,0,0,0,0
"",RO-01610,21/01/2021,Germany,1,59,0,0,0,0,0,4,0,0,0,0,0
"",RO-01610,21/01/2021,France,1,6,0,0,0,0,0,0,0,0,0,0,0
"",RO-01610,21/01/2021,France,0,3,0,0,0,0,0,0,0,0,0,0,0
"",RO-01611,21/01/2021,Germany,1,48,0,0,0,0,0,2,0,0,0,0,0
"",RO-01612,19/01/2021,Germany,1,91,0,0,0,0,0,2,0,0,0,0,0
"",RO-01614,19/01/2021,Germany,1,64,0,0,0,0,0,2,0,0,0,1,0
"",RO-01615,19/01/2021,France,1,47,0,0,0,0,0,2,3,0,0,1,0
"",RO-01616,19/01/2021,Germany,1,105,0,0,0,0,0,2,0,0,0,0,0
"",RO-01616,19/01/2021,Hungary,1,2,0,0,0,0,0,0,0,0,0,0,0
"",RO-01616,19/01/2021,Austria,1,34,0,0,0,0,0,0,0,0,1,0,0
"",RO-01618,26/01/2021,Germany,1,74,0,0,0,0,0,2,0,0,0,0,0
"",RO-01619,26/01/2021,France,1,44,0,0,0,0,0,2,3,0,0,1,0
"",RO-01625,27/01/2021,Switzerland,1,16,0,0,0,0,0,2,0,0,1,0,0
"",RO-01625,27/01/2021,Germany,1,11,0,0,0,0,0,0,0,0,0,0,0
"",RO-01626,28/01/2021,Austria,1,34,0,0,0,0,0,3,0,0,1,0,0
"",RO-01626,28/01/2021,Switzerland,1,3,0,0,0,0,0,0,0,0,1,0,0
"",RO-01626,28/01/2021,Germany,1,25,0,0,0,0,0,0,0,0,0,0,0
"",RO-01627,18/01/2021,Germany,1,101,0,0,0,0,0,0,0,0,0,0,0
"",RO-01627,18/01/2021,Romania,1,2,0,0,0,0,0,0,0,0,0,0,0
"",RO-01628,26/01/2021,Greece,1,63,0,0,0,0,0,1,0,0,1,0,0
"",RO-01632,07/01/2021,Luxembourg,2,27,0,0,0,0,0,1,1,0,1,0,0
"",RO-01635,29/01/2021,Germany,1,89,0,0,0,0,0,2,0,0,0,1,0
"",RO-01636,02/02/2021,France,1,45,0,0,0,0,0,2,0,0,0,1,0
"",RO-01637,02/02/2021,Germany,1,66,0,0,0,0,0,2,2,0,0,0,0
"",RO-01639,02/02/2021,Germany,1,60,0,0,0,0,0,2,0,0,0,1,0
"",RO-01640,09/02/2021,France,1,44,0,0,0,0,0,2,3,0,0,1,0
"",RO-01641,11/02/2021,Germany,1,55,0,0,0,0,0,2,0,0,0,1,0
"",RO-01642,09/02/2021,Germany,1,76,0,0,0,0,0,2,0,0,0,0,0
"",RO-01642,09/02/2021,Belgium,1,2,0,0,0,0,0,0,0,0,0,0,0
"",RO-01643,11/02/2021,Germany,2,19,0,0,0,0,0,1,0,0,0,1,0
"",RO-01643,11/02/2021,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01644,09/02/2021,Germany,1,126,0,0,0,0,0,1,1,0,0,0,0
"",RO-01645,16/02/2021,France,1,44,0,0,0,0,0,2,3,0,0,1,0
"",RO-01647,23/02/2021,France,1,46,0,0,0,0,0,3,3,0,0,1,0
"",RO-01648,23/02/2021,Sweden,2,38,0,0,0,0,0,3,0,0,1,0,0
"",RO-01648,23/02/2021,Luxembourg,2,3,0,0,0,0,0,1,0,0,1,0,0
"",RO-01648,23/02/2021,Austria,1,38,0,0,0,0,0,0,0,0,0,0,0
"",RO-01648,23/02/2021,Bulgaria,1,4,0,0,0,0,0,0,0,0,0,0,0
"",RO-01648,23/02/2021,Belgium,1,4,0,0,0,0,0,0,0,0,0,0,0
"",RO-01648,23/02/2021,Hungary,1,4,0,0,0,0,0,0,0,0,0,0,0
"",RO-01648,23/02/2021,Slovakia,1,1,0,0,0,0,0,0,0,0,1,0,0
"",RO-01650,25/02/2021,Germany,1,83,0,0,0,0,0,2,0,0,0,0,0
"",RO-01653,10/02/2021,Austria,1,34,0,0,0,0,0,1,1,0,1,0,0
"",RO-01653,10/02/2021,Greece,1,33,0,0,0,0,0,0,0,0,1,0,0
"",RO-01653,10/02/2021,Slovenia,1,1,0,0,0,0,0,0,0,0,0,0,0
"",RO-01654,17/02/2021,Germany,1,89,0,0,0,0,0,1,1,0,0,0,0
"",RO-01656,04/01/2021,Italy,1,91,0,0,0,0,0,3,0,0,2,0,0
"",RO-01657,22/01/2021,Germany,1,57,0,0,0,0,0,1,0,0,0,0,0
"",RO-01658,07/01/2021,Italy,1,91,0,0,0,0,0,2,0,0,0,0,0
"",RO-01659,27/01/2021,Germany,1,58,0,0,0,0,0,1,0,0,0,0,0
"",RO-01660,15/01/2021,Italy,2,94,0,0,0,0,0,2,0,0,0,0,0
"",RO-01663,29/01/2021,France,1,41,0,0,0,0,0,1,0,0,0,0,0
"",RO-01665,23/02/2021,Germany,1,74,0,0,0,0,0,2,0,0,0,0,0
"",RO-01667,25/02/2021,Germany,1,73,0,0,0,0,0,4,0,0,0,0,0
"",RO-01668,23/02/2021,Germany,1,93,0,0,0,0,0,2,0,0,0,0,0
"",RO-01669,04/02/2021,Germany,1,70,0,0,0,0,0,4,0,0,0,0,0
"",RO-01671,21/01/2021,Italy,1,55,0,0,0,0,0,2,0,0,0,0,0
"",RO-01673,08/04/2021,Austria,1,38,0,0,0,0,0,3,0,0,1,0,0
"",RO-01673,08/04/2021,Belgium,1,8,0,0,0,0,0,0,1,0,0,0,0
"",RO-01674,03/03/2021,Germany,1,68,0,0,0,0,0,2,0,0,0,1,0
"",RO-01675,03/03/2021,Germany,1,100,0,0,0,0,0,2,1,0,0,1,0
"",RO-01675,03/03/2021,Finland,1,3,0,0,0,0,0,0,0,0,0,0,0
"",RO-01675,03/03/2021,Sweden,1,3,0,0,0,0,0,0,0,0,0,0,0
"",RO-01676,11/03/2021,Germany,1,18,0,0,0,0,0,1,2,0,0,1,0
"",RO-01676,11/03/2021,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01677,12/03/2021,Germany,1,39,0,0,0,0,0,2,0,0,0,0,0
"",RO-01678,11/03/2021,Austria,1,25,0,0,0,0,0,3,0,0,1,0,0
"",RO-01678,11/03/2021,Czech Republic,1,5,0,0,0,0,0,0,0,0,1,0,0
"",RO-01678,11/03/2021,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01678,11/03/2021,Sweden,1,6,0,0,0,0,0,0,0,0,0,0,0
