"",,MSPMS/OMS,Escort LeadersEscorts,"Monitors from PoolMonitors national(MS)",,,
RO-01656,04/01/2021,Italy,OMS,1,91,2,0
RO-01604,06/01/2021,France,OMS,1,48,0,1
RO-01632,07/01/2021,Luxembourg,OMS,2,27,1,0
RO-01658,07/01/2021,Italy,OMS,1,91,0,0
RO-01607,12/01/2021,France,OMS,1,46,0,1
RO-01609,12/01/2021,Germany,OMS,1,83,0,0
RO-01605,13/01/2021,Germany,OMS,1,54,0,1
RO-01606,15/01/2021,Germany,OMS,1,51,0,0
RO-01606,15/01/2021,Austria,PMS,0,3,0,0
RO-01606,15/01/2021,Austria,PMS,1,3,1,0
RO-01660,15/01/2021,Italy,OMS,2,94,0,0
RO-01627,18/01/2021,Germany,OMS,1,101,0,0
RO-01627,18/01/2021,Romania,PMS,1,2,0,0
RO-01612,19/01/2021,Germany,OMS,1,91,0,0
RO-01614,19/01/2021,Germany,OMS,1,64,0,1
RO-01615,19/01/2021,France,OMS,1,47,0,1
RO-01616,19/01/2021,Germany,OMS,1,105,0,0
RO-01616,19/01/2021,Hungary,PMS,1,2,0,0
RO-01616,19/01/2021,Austria,PMS,1,34,1,0
RO-01610,21/01/2021,Germany,OMS,1,59,0,0
RO-01610,21/01/2021,France,PMS,1,6,0,0
RO-01610,21/01/2021,France,PMS,0,3,0,0
RO-01611,21/01/2021,Germany,OMS,1,48,0,0
RO-01671,21/01/2021,Italy,OMS,1,55,0,0
RO-01657,22/01/2021,Germany,OMS,1,57,0,0
RO-01618,26/01/2021,Germany,OMS,1,74,0,0
RO-01619,26/01/2021,France,OMS,1,44,0,1
RO-01628,26/01/2021,Greece,OMS,1,63,1,0
RO-01625,27/01/2021,Switzerland,OMS,1,16,1,0
RO-01625,27/01/2021,Germany,PMS,1,11,0,0
RO-01659,27/01/2021,Germany,OMS,1,58,0,0
RO-01626,28/01/2021,Austria,OMS,1,34,1,0
RO-01626,28/01/2021,Switzerland,PMS,1,3,1,0
RO-01626,28/01/2021,Germany,PMS,1,25,0,0
RO-01698,28/01/2021,Italy,OMS,1,56,0,0
RO-01635,29/01/2021,Germany,OMS,1,89,0,1
RO-01663,29/01/2021,France,OMS,1,41,0,0
RO-01636,02/02/2021,France,OMS,1,45,0,1
RO-01637,02/02/2021,Germany,OMS,1,66,0,0
RO-01639,02/02/2021,Germany,OMS,1,60,0,1
RO-01669,04/02/2021,Germany,OMS,1,70,0,0
RO-01706,08/02/2021,Italy,OMS,1,83,0,0
RO-01640,09/02/2021,France,OMS,1,44,0,1
RO-01642,09/02/2021,Germany,OMS,1,76,0,0
RO-01642,09/02/2021,Belgium,PMS,1,2,0,0
RO-01644,09/02/2021,Germany,OMS,1,126,0,0
RO-01653,10/02/2021,Austria,OMS,1,34,1,0
RO-01653,10/02/2021,Greece,PMS,1,33,1,0
RO-01653,10/02/2021,Slovenia,PMS,1,1,0,0
RO-01641,11/02/2021,Germany,OMS,1,55,0,1
RO-01643,11/02/2021,Germany,OMS,2,19,0,1
RO-01643,11/02/2021,Italy,PMS,0,0,0,0
RO-01723,11/02/2021,Italy,OMS,1,43,0,0
RO-01725,15/02/2021,Italy,OMS,1,35,0,0
RO-01645,16/02/2021,France,OMS,1,44,0,1
RO-01654,17/02/2021,Germany,OMS,1,89,0,0
RO-01724,18/02/2021,Italy,OMS,2,59,2,0
RO-01729,22/02/2021,Italy,OMS,4,58,0,0
RO-01647,23/02/2021,France,OMS,1,46,0,1
RO-01648,23/02/2021,Sweden,OMS,2,38,1,0
RO-01648,23/02/2021,Luxembourg,PMS,2,3,1,0
RO-01648,23/02/2021,Austria,PMS,1,38,0,0
RO-01648,23/02/2021,Bulgaria,PMS,1,4,0,0
RO-01648,23/02/2021,Belgium,PMS,1,4,0,0
RO-01648,23/02/2021,Hungary,PMS,1,4,0,0
RO-01648,23/02/2021,Slovakia,PMS,1,1,1,0
RO-01665,23/02/2021,Germany,OMS,1,74,0,0
RO-01668,23/02/2021,Germany,OMS,1,93,0,0
RO-01650,25/02/2021,Germany,OMS,1,83,0,0
RO-01667,25/02/2021,Germany,OMS,1,73,0,0
RO-01707,25/02/2021,Germany,OMS,1,46,0,0
RO-01736,01/03/2021,Italy,OMS,1,63,0,0
RO-01704,02/03/2021,Greece,OMS,1,58,0,0
RO-01737,02/03/2021,France,OMS,1,20,0,0
RO-01674,03/03/2021,Germany,OMS,1,68,0,1
RO-01675,03/03/2021,Germany,OMS,1,100,0,1
RO-01675,03/03/2021,Finland,PMS,1,3,0,0
RO-01675,03/03/2021,Sweden,PMS,1,3,0,0
RO-01705,04/03/2021,Germany,OMS,1,50,0,0
RO-01739,04/03/2021,Italy,OMS,2,87,0,0
RO-01743,08/03/2021,Italy,OMS,2,82,0,0
RO-01679,09/03/2021,Germany,OMS,1,107,0,0
RO-01740,09/03/2021,France,OMS,1,31,0,0
RO-01676,11/03/2021,Germany,OMS,1,18,0,1
RO-01676,11/03/2021,Iceland,PMS,0,0,0,0
RO-01678,11/03/2021,Austria,OMS,1,25,1,0
RO-01678,11/03/2021,Czech Republic,PMS,1,5,1,0
RO-01678,11/03/2021,Sweden,PMS,0,0,0,0
RO-01678,11/03/2021,Sweden,PMS,1,6,0,0
RO-01678,11/03/2021,Greece,PMS,1,13,0,0
RO-01746,11/03/2021,Italy,OMS,2,62,0,0
RO-01677,12/03/2021,Germany,OMS,1,39,0,0
RO-01682,16/03/2021,Germany,OMS,1,74,0,1
RO-01682,16/03/2021,Belgium,PMS,1,2,0,0
RO-01682,16/03/2021,Sweden,PMS,1,2,0,0
RO-01683,16/03/2021,Germany,OMS,1,115,0,0
RO-01683,16/03/2021,Poland,PMS,1,5,0,0
RO-01744,16/03/2021,France,OMS,1,30,0,0
RO-01765,18/03/2021,Italy,OMS,1,59,0,0
RO-01681,19/03/2021,Germany,OMS,1,45,0,1
RO-01681,19/03/2021,Sweden,PMS,1,7,0,0
RO-01681,19/03/2021,Sweden,PMS,0,2,0,0
RO-01747,19/03/2021,Italy,OMS,2,71,0,0
