ROID,RO Date,Observer,Frontex representative on board
RO-01330,02/01/2020,0,0
RO-01178,07/01/2020,1,0
RO-01311,07/01/2020,3,0
RO-01334,13/01/2020,0,0
RO-01187,14/01/2020,0,1
RO-01312,14/01/2020,3,1
RO-01321,14/01/2020,0,0
RO-01193,16/01/2020,2,1
RO-01307,20/01/2020,0,0
RO-01299,21/01/2020,2,1
RO-01313,21/01/2020,3,0
RO-01331,21/01/2020,0,0
RO-01204,22/01/2020,0,1
RO-01291,22/01/2020,0,1
RO-01263,23/01/2020,0,1
RO-01348,23/01/2020,0,0
RO-01333,27/01/2020,0,0
RO-01264,28/01/2020,0,2
RO-01295,28/01/2020,0,0
RO-01317,28/01/2020,1,1
RO-01237,30/01/2020,0,1
RO-01356,30/01/2020,0,0
RO-01341,01/02/2020,0,0
RO-01179,04/02/2020,0,1
RO-01335,04/02/2020,3,1
RO-01219,05/02/2020,0,1
RO-01292,05/02/2020,0,0
RO-01231,06/02/2020,0,1
RO-01359,06/02/2020,0,0
RO-01353,07/02/2020,0,0
RO-01194,11/02/2020,0,0
RO-01336,11/02/2020,3,1
RO-01188,12/02/2020,0,1
RO-01210,13/02/2020,2,0
RO-01350,17/02/2020,0,0
RO-01369,17/02/2020,0,0
RO-01294,18/02/2020,0,1
RO-01304,18/02/2020,0,2
RO-01337,18/02/2020,0,1
RO-01205,19/02/2020,0,1
RO-01322,19/02/2020,0,0
RO-01370,24/02/2020,0,0
RO-01338,25/02/2020,3,1
RO-01354,25/02/2020,0,0
ROID,RO Date,Observer,Frontex representative on board
RO-01233,26/02/2020,0,0
RO-01289,26/02/2020,1,1
RO-01298,27/02/2020,0,1
RO-01363,27/02/2020,0,0
RO-01351,02/03/2020,0,0
RO-01180,03/03/2020,0,1
RO-01281,03/03/2020,1,1
RO-01342,03/03/2020,0,1
RO-01220,04/03/2020,3,1
RO-01195,05/03/2020,2,1
RO-01305,05/03/2020,0,0
RO-01365,05/03/2020,0,1
RO-01314,10/03/2020,0,0
RO-01343,10/03/2020,4,0
RO-01212,11/03/2020,1,0
RO-01347,11/03/2020,0,0
RO-01357,18/03/2020,0,0
RO-01315,24/03/2020,0,0
RO-01211,07/05/2020,1,0
RO-01326,26/05/2020,0,0
RO-01405,04/06/2020,0,0
RO-01421,10/06/2020,0,0
RO-01306,15/06/2020,0,0
RO-01425,15/06/2020,0,0
RO-01430,16/06/2020,0,0
RO-01401,18/06/2020,1,0
RO-01328,23/06/2020,0,0
RO-01429,30/06/2020,1,0
RO-01436,02/07/2020,0,0
RO-01437,08/07/2020,0,0
RO-01186,14/07/2020,0,0
RO-01434,15/07/2020,0,0
RO-01420,16/07/2020,1,0
RO-01442,16/07/2020,0,0
RO-01456,16/07/2020,0,0
RO-01463,16/07/2020,0,0
RO-01409,20/07/2020,0,0
RO-01426,22/07/2020,0,0
RO-01446,22/07/2020,0,0
RO-01464,22/07/2020,0,0
RO-01461,23/07/2020,0,0
RO-01462,24/07/2020,0,0
RO-01467,27/07/2020,0,0
RO-01428,28/07/2020,0,0
ROID,RO Date,Observer,Frontex representative on board
RO-01435,30/07/2020,0,0
RO-01465,30/07/2020,0,0
RO-01472,30/07/2020,0,0
RO-01474,03/08/2020,0,0
RO-01460,04/08/2020,0,0
