04/01/2021,NRO,Tunisia,RO-01656
06/01/2021,CRO,Albania,RO-01604
07/01/2021,NRO,Albania & Kosovo*,RO-01632
07/01/2021,NRO,Tunisia,RO-01658
12/01/2021,CRO,Albania,RO-01607
12/01/2021,NRO,Afghanistan,RO-01609
13/01/2021,NRO,Tunisia,RO-01605
15/01/2021,JRO,Albania & Kosovo*,RO-01606
15/01/2021,NRO,Tunisia,RO-01660
18/01/2021,JRO,Pakistan,RO-01627
19/01/2021,NRO,Guinea,RO-01612
19/01/2021,NRO,Georgia,RO-01614
19/01/2021,CRO,Albania,RO-01615
19/01/2021,JRO,Nigeria,RO-01616
21/01/2021,NRO,North Macedonia & Serbia,RO-01611
21/01/2021,JRO,Albania & Moldova,RO-01610
21/01/2021,NRO,Tunisia,RO-01671
22/01/2021,NRO,Albania & Kosovo*,RO-01657
26/01/2021,NRO,Ghana,RO-01618
26/01/2021,CRO,Albania,RO-01619
26/01/2021,NRO,Pakistan,RO-01628
27/01/2021,JRO,Ethiopia,RO-01625
27/01/2021,NRO,Iraq,RO-01659
28/01/2021,JRO,Armenia & Georgia,RO-01626
28/01/2021,NRO,Tunisia,RO-01698
29/01/2021,NRO,Ukraine,RO-01635
29/01/2021,NRO,Georgia,RO-01663
02/02/2021,CRO,Albania,RO-01636
02/02/2021,NRO,Armenia,RO-01637
02/02/2021,NRO,Albania & Kosovo*,RO-01639
04/02/2021,NRO,Kosovo* & Moldova,RO-01669
08/02/2021,NRO,Tunisia,RO-01706
09/02/2021,CRO,Albania,RO-01640
09/02/2021,NRO,Afghanistan,RO-01644
09/02/2021,JRO,Guinea,RO-01642
10/02/2021,JRO,Pakistan,RO-01653
11/02/2021,NRO,Albania & Kosovo*,RO-01641
11/02/2021,CRO,Georgia,RO-01643
11/02/2021,NRO,Tunisia,RO-01723
15/02/2021,NRO,Tunisia,RO-01725
16/02/2021,CRO,Albania,RO-01645
17/02/2021,NRO,Pakistan,RO-01654
18/02/2021,NRO,Tunisia,RO-01724
22/02/2021,NRO,Tunisia,RO-01729
23/02/2021,CRO,Albania,RO-01647
23/02/2021,NRO,Ghana,RO-01665
23/02/2021,NRO,Armenia,RO-01668
23/02/2021,JRO,Afghanistan,RO-01648
25/02/2021,NRO,North Macedonia & Serbia,RO-01650
25/02/2021,NRO,Moldova & Ukraine,RO-01667
25/02/2021,NRO,Georgia,RO-01707
01/03/2021,NRO,Tunisia,RO-01736
02/03/2021,NRO,Georgia & Pakistan,RO-01704
02/03/2021,NRO,Albania,RO-01737
03/03/2021,NRO,Tunisia,RO-01674
03/03/2021,JRO,The Gambia,RO-01675
04/03/2021,NRO,Serbia,RO-01705
04/03/2021,NRO,Tunisia,RO-01739
08/03/2021,NRO,Tunisia,RO-01743
09/03/2021,NRO,Afghanistan,RO-01679
09/03/2021,NRO,Albania,RO-01740
11/03/2021,CRO,Georgia,RO-01676
11/03/2021,JRO,Armenia & Georgia,RO-01678
11/03/2021,NRO,Tunisia,RO-01746
12/03/2021,NRO,Bosnia and Herzegovina & North Macedonia,RO-01677
16/03/2021,JRO,Pakistan,RO-01683
16/03/2021,JRO,Guinea,RO-01682
16/03/2021,NRO,Albania,RO-01744
18/03/2021,NRO,Tunisia,RO-01765
19/03/2021,JRO,Albania & Kosovo*,RO-01681
19/03/2021,NRO,Egypt,RO-01747
22/03/2021,NRO,Tunisia,RO-01768
23/03/2021,NRO,Ghana,RO-01687
23/03/2021,JRO,Ethiopia,RO-01686
23/03/2021,JRO,Colombia & Peru,RO-01685
23/03/2021,NRO,Albania,RO-01745
24/03/2021,NRO,Albania & Moldova,RO-01732
25/03/2021,CRO,Georgia,RO-01684
25/03/2021,NRO,Tunisia,RO-01772
29/03/2021,JRO,Ukraine,RO-01702
29/03/2021,NRO,Tunisia,RO-01773
