"",,,,Number of TCNs
Date of Departure,Operation ID,MS,OMS/PMS/LMS,
"",,,,(accepted)
16/07/2020,RO-01456,Italy,OMS,20
16/07/2020,RO-01463,Slovenia,OMS,3
20/07/2020,RO-01409,Germany,OMS,61
22/07/2020,RO-01426,Germany,OMS,22
22/07/2020,RO-01446,Germany,OMS,9
22/07/2020,RO-01464,Finland,OMS,5
22/07/2020,VRD-2020-001,France,OMS,105
23/07/2020,RO-01461,Italy,OMS,20
23/07/2020,VRD-2020-002,France,OMS,104
24/07/2020,RO-01462,France,OMS,23
27/07/2020,RO-01467,Italy,OMS,19
28/07/2020,RO-01428,Germany,OMS,40
30/07/2020,RO-01435,Germany,OMS,57
30/07/2020,RO-01465,France,OMS,20
30/07/2020,RO-01472,Italy,OMS,18
03/08/2020,RO-01474,Italy,OMS,18
04/08/2020,RO-01460,Germany,OMS,39
04/08/2020,RO-01460,Italy,PMS,5
04/08/2020,RO-01460,Sweden,PMS,2
04/08/2020,RO-01460,The Netherlands,PMS,1
06/08/2020,RO-01475,Italy,OMS,20
"",,,,Number of TCNs
Date of Departure,Operation ID,MS,OMS/PMS/LMS,
"",,,,(accepted)
06/08/2020,RO-01481,Finland,OMS,5
07/08/2020,RO-01468,Italy,OMS,30
10/08/2020,RO-01480,Italy,OMS,39
11/08/2020,RO-01457,Germany,OMS,36
11/08/2020,VRD-2020-003,France,OMS,109
12/08/2020,RO-01469,Germany,OMS,47
12/08/2020,RO-01470,France,OMS,25
13/08/2020,RO-01484,Italy,OMS,37
17/08/2020,RO-01414,Germany,OMS,53
17/08/2020,RO-01489,Italy,OMS,35
18/08/2020,RO-01283,Austria,PMS,7
18/08/2020,RO-01283,Germany,OMS,24
18/08/2020,RO-01283,Poland,PMS,2
19/08/2020,RO-01415,Germany,OMS,75
19/08/2020,RO-01471,France,OMS,18
20/08/2020,RO-01438,Germany,OMS,38
20/08/2020,RO-01482,Finland,OMS,4
20/08/2020,RO-01490,Italy,OMS,37
24/08/2020,RO-01495,Italy,OMS,30
25/08/2020,RO-01439,Germany,OMS,76
26/08/2020,RO-01466,Germany,OMS,37
26/08/2020,RO-01466,The Netherlands,PMS,1
26/08/2020,RO-01485,France,OMS,25
27/08/2020,RO-01443,Germany,OMS,53
27/08/2020,RO-01494,Italy,OMS,35
31/08/2020,RO-01515,Italy,OMS,35
01/09/2020,RO-01491,Germany,OMS,30
02/09/2020,RO-01444,Germany,OMS,22
02/09/2020,RO-01478,Germany,OMS,63
02/09/2020,RO-01486,France,OMS,21
02/09/2020,VRD-2020-004,Belgium,PMS,3
02/09/2020,VRD-2020-004,France,PMS,14
02/09/2020,VRD-2020-004,Germany,OMS,31
02/09/2020,VRD-2020-004,The Netherlands,PMS,2
03/09/2020,RO-01518,Italy,OMS,23
07/09/2020,RO-01284,Germany,OMS,34
07/09/2020,RO-01517,Italy,OMS,15
10/09/2020,RO-01441,Germany,OMS,31
10/09/2020,RO-01441,Greece,PMS,10
10/09/2020,RO-01487,France,OMS,25
10/09/2020,RO-01519,Italy,OMS,35
14/09/2020,RO-01520,Italy,OMS,31
15/09/2020,RO-01492,France,OMS,25
17/09/2020,RO-01448,Austria,OMS,21
17/09/2020,RO-01448,Greece,PMS,14
17/09/2020,RO-01522,Italy,OMS,40
21/09/2020,RO-01546,Italy,OMS,34
23/09/2020,VRD-2020-005,Germany,OMS,54
24/09/2020,RO-01508,Germany,OMS,88
24/09/2020,RO-01549,France,OMS,22
24/09/2020,RO-01549,Spain,PMS,2
24/09/2020,RO-01551,Italy,OMS,38
25/09/2020,RO-01544,Italy,OMS,17
28/09/2020,RO-01479,Germany,OMS,46
28/09/2020,RO-01479,Sweden,PMS,7
28/09/2020,RO-01521,Germany,OMS,34
28/09/2020,RO-01553,Italy,OMS,40
29/09/2020,RO-01493,France,OMS,24
30/09/2020,RO-01454,Germany,OMS,45
30/09/2020,RO-01454,The Netherlands,PMS,1
30/09/2020,RO-01458,Germany,OMS,45
30/09/2020,RO-01458,Italy,PMS,4
30/09/2020,RO-01458,Spain,PMS,1
30/09/2020,RO-01509,Germany,OMS,43
01/10/2020,RO-01555,Italy,OMS,39
05/10/2020,RO-01557,Italy,OMS,39
06/10/2020,RO-01497,Germany,OMS,55
06/10/2020,RO-01497,Iceland,PMS,7
06/10/2020,RO-01510,France,OMS,25
"",,,,Number of TCNs
Date of Departure,Operation ID,MS,OMS/PMS/LMS,
"",,,,(accepted)
07/10/2020,RO-01498,Germany,OMS,18
07/10/2020,RO-01543,Germany,OMS,24
08/10/2020,RO-01285,Germany,OMS,36
08/10/2020,RO-01285,Poland,PMS,1
