RO TitleRO Date,MSPMS/OMS,Escort LeadersEscorts,"Monitors from PoolMonitors national(MS)",,,,
RO-01330,02/01/2020,Italy,OMS,1,44,0,0
RO-01178,07/01/2020,Germany,OMS,1,111,0,2
RO-01311,07/01/2020,France,OMS,1,43,0,1
RO-01311,07/01/2020,Belgium,PMS,0,0,0,0
RO-01334,13/01/2020,Italy,OMS,2,42,3,0
RO-01187,14/01/2020,Germany,OMS,1,104,0,2
RO-01312,14/01/2020,France,OMS,1,43,0,1
RO-01312,14/01/2020,Belgium,PMS,0,0,0,0
RO-01321,14/01/2020,Greece,OMS,1,52,2,0
RO-01321,14/01/2020,Belgium,PMS,0,0,0,0
RO-01193,16/01/2020,Germany,OMS,1,38,0,2
RO-01193,16/01/2020,France,PMS,0,0,0,0
RO-01193,16/01/2020,Sweden,PMS,0,0,0,0
RO-01307,20/01/2020,Spain,OMS,1,68,2,0
RO-01299,21/01/2020,Germany,OMS,1,44,0,2
RO-01299,21/01/2020,Belgium,PMS,2,16,2,0
RO-01313,21/01/2020,France,OMS,1,46,0,1
RO-01313,21/01/2020,Belgium,PMS,0,0,0,0
RO-01331,21/01/2020,Italy,OMS,2,80,2,0
RO-01204,22/01/2020,Austria,OMS,1,35,1,0
RO-01204,22/01/2020,Germany,PMS,1,52,0,0
RO-01204,22/01/2020,Belgium,PMS,1,5,0,0
RO-01204,22/01/2020,Greece,PMS,1,2,0,0
RO-01291,22/01/2020,Germany,OMS,1,68,0,1
RO-01263,23/01/2020,Germany,OMS,1,45,0,1
RO-01263,23/01/2020,Finland,PMS,1,4,1,0
RO-01348,23/01/2020,Italy,OMS,1,26,0,0
RO-01333,27/01/2020,Spain,OMS,1,67,2,0
RO-01264,28/01/2020,Germany,OMS,1,43,0,1
RO-01295,28/01/2020,Germany,OMS,1,65,0,1
RO-01317,28/01/2020,France,OMS,1,43,0,1
RO-01237,30/01/2020,Germany,OMS,1,71,0,2
RO-01356,30/01/2020,Italy,OMS,2,35,2,0
RO-01341,01/02/2020,Italy,OMS,3,108,3,0
RO-01179,04/02/2020,Germany,OMS,1,96,0,2
RO-01179,04/02/2020,Poland,PMS,1,4,0,0
RO-01335,04/02/2020,France,OMS,1,46,0,1
RO-01335,04/02/2020,Belgium,PMS,0,0,0,0
RO-01219,05/02/2020,Sweden,OMS,2,62,1,0
RO-01219,05/02/2020,Bulgaria,PMS,1,4,0,0
RO-01219,05/02/2020,Austria,PMS,1,44,1,0
RO-01219,05/02/2020,Greece,PMS,1,4,1,0
RO-01292,05/02/2020,Germany,OMS,1,70,0,1
RO-01231,06/02/2020,Germany,OMS,1,47,0,2
RO-01231,06/02/2020,Norway,PMS,1,3,0,0
RO-01359,06/02/2020,Italy,OMS,2,57,0,0
RO-01353,07/02/2020,Italy,OMS,2,59,2,0
RO-01194,11/02/2020,Germany,OMS,1,38,0,2
RO-01194,11/02/2020,Italy,PMS,0,0,0,0
RO-01336,11/02/2020,France,OMS,1,44,0,1
RO-01336,11/02/2020,Belgium,PMS,0,0,0,0
RO-01188,12/02/2020,Germany,OMS,1,88,0,1
