Date ROID,,TOTAL PAID
20/08/2020 RO-01482,,"€ 43,041.15"
20/08/2020 RO-01490,,"€ 41,399.90"
24/08/2020 RO-01495,,"€ 43,924.90"
25/08/2020 RO-01439,,"€ 173,951.04"
26/08/2020 RO-01466,,"€ 75,144.83"
26/08/2020 RO-01485,,"€ 59,834.93"
27/08/2020 RO-01443,,"€ 61,392.49"
27/08/2020 RO-01494,,"€ 42,418.99"
31/08/2020 RO-01515,,"€ 47,975.00"
01/09/2020 RO-01491,,"€ 96,885.32"
02/09/2020 RO-01444,,"€ 109,068.74"
02/09/2020 RO-01478,,"€ 133,620.33"
02/09/2020 RO-01486,,"€ 67,916.95"
03/09/2020 RO-01518,,"€ 44,934.90"
03/09/2020 VRD-2020-004,,"€ 193,225.26"
07/09/2020 RO-01284,,"€ 375,973.16"
07/09/2020 RO-01517,,"€ 38,683.00"
10/09/2020 RO-01441,,"€ 119,485.26"
10/09/2020 RO-01487,,"€ 67,258.43"
10/09/2020 RO-01519,,"€ 45,349.00"
14/09/2020 RO-01520,,"€ 41,157.50"
15/09/2020 RO-01492,,"€ 52,731.12"
17/09/2020 RO-01448,,"€ 91,758.50"
17/09/2020 RO-01522,,"€ 55,449.00"
21/09/2020 RO-01546,,"€ 39,390.00"
23/09/2020 VRD-2020-005,,"€ 59,743.18"
24/09/2020 RO-01508,,"€ 110,258.01"
24/09/2020 RO-01549,,"€ 83,214.91"
Date ROID,,TOTAL PAID
24/09/2020 RO-01551,,"€ 41,662.50"
25/09/2020 RO-01544,,"€ 35,350.00"
28/09/2020 RO-01479,,"€ 220,218.13"
28/09/2020 RO-01521,,"€ 76,774.55"
28/09/2020 RO-01553,,"€ 41,814.00"
29/09/2020 RO-01493,,"€ 52,645.01"
30/09/2020 RO-01454,,"€ 155,569.26"
30/09/2020 RO-01458,,"€ 134,724.84"
30/09/2020 RO-01509,,"€ 90,619.91"
01/10/2020 RO-01555,,"€ 51,611.00"
05/10/2020 RO-01557,,"€ 54,176.40"
06/10/2020 RO-01497,,"€ 209,868.19"
06/10/2020 RO-01510,,"€ 56,805.74"
07/10/2020 RO-01498,,"€ 101,761.87"
07/10/2020 RO-01543,,"€ 62,303.85"
08/10/2020 RO-01285,,"€ 427,320.74"
08/10/2020 RO-01559,,"€ 38,885.00"
12/10/2020 RO-01560,,"€ 37,753.80"
13/10/2020 RO-01512,,"€ 48,953.19"
13/10/2020 RO-01565,,"€ 35,228.80"
14/10/2020 RO-01516,,"€ 319,363.21"
15/10/2020 RO-01496,,"€ 99,635.63"
15/10/2020 RO-01564,,"€ 39,592.00"
19/10/2020 RO-01568,,"€ 41,309.00"
20/10/2020 RO-01513,,"€ 49,260.52"
20/10/2020 RO-01571,,"€ 40,905.00"
21/10/2020 RO-01563,,"€ 68,526.43"
22/10/2020 RO-01572,,"€ 40,804.00"
26/10/2020 RO-01576,,"€ 40,299.00"
27/10/2020 RO-01514,,"€ 49,476.98"
27/10/2020 RO-01523,,"€ 428,306.66"
27/10/2020 VRD-2020-006,,"€ 125,665.72"
28/10/2020 RO-01393,,"€ 95,534.62"
29/10/2020 RO-01570,,"€ 104,688.34"
29/10/2020 RO-01578,,"€ 47,470.00"
03/11/2020 RO-01524,,"€ 47,721.41"
03/11/2020 RO-01525,,"€ 378,028.03"
04/11/2020 RO-01556,,"€ 82,611.69"
05/11/2020 RO-01526,,"€ 114,664.13"
